_source_system,_source_table,_extracted_at_utc,_snapshot_date,_snapshot_id,entity_id,trip_id,route_id,direction_id,start_time,start_date,vehicle_id,vehicle_label,license_plate,latitude,longitude,bearing,speed_mps,speed_kmh,current_stop_sequence,stop_id,current_status,timestamp_raw,timestamp_cdmx,congestion_level,occupancy_status,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,b94f7f06-14d1-4f39-afac-f5db44ff3d2c,,19470,0.0,02:39:20,20260729,69379,2306,1240002,19.50481414794922,-99.18801879882812,287.0,31.0,111.60000000000001,,,,1785296167,2026-07-28 21:36:07-06:00,,,6,L06g01-1 villa de aragón - el rosario,,3,E44599,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,e253ee0c-0bbb-482d-97d4-3126c62afd86,,19563,0.0,02:49:27,20260729,69378,2305,1240001,19.393457412719727,-99.134033203125,277.0,27.0,97.2,,,,1785296174,2026-07-28 21:36:14-06:00,,,2,L02c01-1 tepalcates - tacubaya,,3,8D1A96,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,3d141b61-9414-45ef-a5d2-98ad150086cb,,,,,,69377,2304,1230200,19.4793758392334,-99.06417846679688,0.0,0.0,0.0,,,,1785296170,2026-07-28 21:36:10-06:00,,,,,,,,,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,02251e0d-f550-4594-95b5-d2ff56a8c40c,,19567,1.0,03:16:36,20260729,69376,2303,1230199,19.395734786987305,-99.15462493896484,95.0,0.0,0.0,,,,1785296176,2026-07-28 21:36:16-06:00,,,2,L02c03-2 col. del valle - tepalcates,,3,8D1A96,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,89abe5b1-c4d2-48ca-b93b-9e8f6b76e97c,,19562,1.0,02:38:37,20260729,69375,2302,1230198,19.393173217773438,-99.0591049194336,8.0,0.0,0.0,,,,1785296170,2026-07-28 21:36:10-06:00,,,2,L02c01-2 tacubaya - tepalcates,,3,8D1A96,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,60b11119-5eac-49a1-a579-eaaeeb4fa686,,,,,,70014,1210,001A196,19.386356353759766,-99.04597473144531,651.0,0.0,0.0,,,,1785266710,2026-07-28 13:25:10-06:00,,,,,,,,,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,dc095306-e8f4-4f0f-8ef5-1288db43e58f,,19471,1.0,02:56:03,20260729,69382,2309,1240005,19.4790096282959,-99.09832763671875,111.0,18.0,64.8,,,,1785296173,2026-07-28 21:36:13-06:00,,,6,L06g01-2 el rosario - villa de aragón,,3,E44599,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,b52af56d-8775-402c-bd6f-9cd6c2a8bc07,,,,,,69381,2308,1240004,19.4647216796875,-99.05912780761719,0.0,0.0,0.0,,,,1785296174,2026-07-28 21:36:14-06:00,,,,,,,,,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,5d99d352-83e4-4430-aad3-4070b94aa4fe,,19472,1.0,03:16:53,20260729,69380,2307,1240003,19.477022171020508,-99.0927963256836,112.0,14.0,50.4,,,,1785296173,2026-07-28 21:36:13-06:00,,,6,L06g02-2 ipn - villa de aragón,,3,E44599,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,5ce70dd4-617f-46bc-a33f-5e35cdc62969,,19563,0.0,03:06:27,20260729,69393,2320,1230174,19.39112663269043,-99.08619689941406,305.0,15.0,54.0,,,,1785296165,2026-07-28 21:36:05-06:00,,,2,L02c01-1 tepalcates - tacubaya,,3,8D1A96,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,dde08181-c308-4112-bab9-ab6fec354cde,,,,,,69390,2317,1240013,19.38930892944336,-99.05838012695312,0.0,0.0,0.0,,,,1784858564,2026-07-23 20:02:44-06:00,,,,,,,,,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,c1fed42b-e28a-4ac7-a4ce-e6740e70bc66,,19475,1.0,03:19:17,20260729,69389,2316,1240012,19.493928909301758,-99.14885711669922,103.0,0.0,0.0,,,,1785296166,2026-07-28 21:36:06-06:00,,,6,L06g03-2 el rosario- dep. 18 de marzo,,3,E44599,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,50d339b5-bbf8-4a28-a441-1c2fbc54a054,,19472,1.0,03:15:24,20260729,69388,2315,1240011,19.477054595947266,-99.09283447265625,112.0,16.0,57.6,,,,1785296174,2026-07-28 21:36:14-06:00,,,6,L06g02-2 ipn - villa de aragón,,3,E44599,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,12bc430e-8ffb-4976-9766-54dd32fb634e,,19475,1.0,03:33:36,20260729,69387,2314,1240010,19.510887145996094,-99.192626953125,103.0,14.0,50.4,,,,1785296167,2026-07-28 21:36:07-06:00,,,6,L06g03-2 el rosario- dep. 18 de marzo,,3,E44599,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,81301904-750e-4bc2-91c4-f848e009b596,,19562,1.0,02:45:32,20260729,69386,2313,1240009,19.38436508178711,-99.0717544555664,998.0,26.0,93.60000000000001,,,,1785296175,2026-07-28 21:36:15-06:00,,,2,L02c01-2 tacubaya - tepalcates,,3,8D1A96,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,27406abf-b49e-427e-aa85-2d663d6cb3ff,,19471,1.0,03:35:20,20260729,69385,2312,1240008,19.51108169555664,-99.19835662841797,16.0,0.0,0.0,,,,1785296169,2026-07-28 21:36:09-06:00,,,6,L06g01-2 el rosario - villa de aragón,,3,E44599,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,52025527-0b0d-4926-85d3-f3d482c69387,,19474,0.0,03:13:27,20260729,69383,2310,1240006,19.505006790161133,-99.18893432617188,280.0,0.0,0.0,,,,1785296167,2026-07-28 21:36:07-06:00,,,6,L06g03-1 dep. 18 de marzo - el rosario,,3,E44599,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,a86d20b2-3ccf-4d7c-8e8e-7a1531b40c05,,19470,0.0,02:35:51,20260729,69198,800,1320055,19.51115608215332,-99.19244384765625,281.0,9.0,32.4,,,,1785296163,2026-07-28 21:36:03-06:00,,,6,L06g01-1 villa de aragón - el rosario,,3,E44599,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,de254e04-4225-47d5-8f85-2fea222db137,,,,,,69886,801,1280065,19.492876052856445,-99.12071228027344,326.0,0.0,0.0,,,,1785296171,2026-07-28 21:36:11-06:00,,,,,,,,,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,2ee89ba3-79d1-439c-98f4-8d73e24461a7,,19577,1.0,03:20:32,20260729,69887,802,1280066,19.429643630981445,-99.16191101074219,627.0,22.0,79.2,,,,1785296166,2026-07-28 21:36:06-06:00,,,7,L07h01-2 campo marte - indios verdes,,3,116633,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,0b73f0a7-ae17-46bb-82bb-94e80f5abdb0,,,,,,69888,803,1280067,19.508333206176758,-99.1728744506836,0.0,0.0,0.0,,,,1783013862,2026-07-02 11:37:42-06:00,,,,,,,,,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,e0cb37f7-a6e2-4a8d-9124-d33d4155a933,,19583,1.0,03:24:40,20260729,69889,804,1280068,19.436721801757812,-99.1474609375,566.0,0.0,0.0,,,,1785296173,2026-07-28 21:36:13-06:00,,,7,L07h04-2 la diana - indios verdes,,3,116633,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,94dd5514-fb53-4374-b91b-27d81c8d8fd4,,19577,1.0,03:15:39,20260729,69890,805,1280069,19.431955337524414,-99.15701293945312,648.0,0.0,0.0,,,,1785296175,2026-07-28 21:36:15-06:00,,,7,L07h01-2 campo marte - indios verdes,,3,116633,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,5c060f0e-91f4-4f9d-a9d0-21d9c88902b8,,19566,0.0,02:22:29,20260729,69392,2319,1230173,19.398345947265625,-99.11260223388672,873.0,25.0,90.0,,,,1785296163,2026-07-28 21:36:03-06:00,,,2,L02c03-1 tepalcates - col. del valle,,3,8D1A96,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,9e01fdcd-7a9e-49e1-8d62-6bc0235e1d54,,19563,0.0,03:13:26,20260729,69391,2318,1230172,19.387258529663086,-99.08036041259766,304.0,0.0,0.0,,,,1785296162,2026-07-28 21:36:02-06:00,,,2,L02c01-1 tepalcates - tacubaya,,3,8D1A96,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,da8dc2ea-5ec1-4da9-b3f8-4c5bd360516d,,19583,1.0,03:34:20,20260729,69892,807,1280071,19.42804527282715,-99.16522216796875,643.0,0.0,0.0,,,,1785296166,2026-07-28 21:36:06-06:00,,,7,L07h04-2 la diana - indios verdes,,3,116633,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,28344319-190f-4b70-a110-1642d8219c29,,19579,1.0,02:54:44,20260729,69893,808,1280072,19.45272445678711,-99.1310043334961,399.0,0.0,0.0,,,,1785296170,2026-07-28 21:36:10-06:00,,,7,L07h02-2 campo marte - hospital infantil,,3,116633,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,29e42572-d80c-4f99-937e-46d5d255d63d,,,,,,69894,809,1280073,19.50823974609375,-99.1724853515625,0.0,0.0,0.0,,,,1784932568,2026-07-24 16:36:08-06:00,,,,,,,,,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,1cc81ae7-1bc2-4e7c-963b-4b66a84b46e4,,19563,0.0,03:02:13,20260729,69398,2325,1230182,19.396968841552734,-99.10025787353516,273.0,0.0,0.0,,,,1785296167,2026-07-28 21:36:07-06:00,,,2,L02c01-1 tepalcates - tacubaya,,3,8D1A96,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,7bbf0115-6ffd-44dc-9a67-2e19a43146c3,,19565,1.0,03:28:15,20260729,69397,2324,1230180,19.39410972595215,-99.13873291015625,998.0,40.0,144.0,,,,1785296178,2026-07-28 21:36:18-06:00,,,2,L02c02-2 etiopía l3 - tepalcates,,3,8D1A96,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,41e4596e-595f-482c-90a7-7d94b7f47944,,19564,0.0,02:56:02,20260729,69395,2322,1230176,19.39790153503418,-99.12841796875,266.0,48.0,172.8,,,,1785296157,2026-07-28 21:35:57-06:00,,,2,L02c02-1 tepalcates - etiopía l3,,3,8D1A96,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,90fd7049-5f74-4600-922e-8a38fa990b01,,19576,0.0,03:09:43,20260729,69895,810,1280074,19.441911697387695,-99.14186096191406,225.0,42.0,151.20000000000002,,,,1785296168,2026-07-28 21:36:08-06:00,,,7,L07h01-1 indios verdes - campo marte,,3,116633,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,7e642a7d-beee-4a75-bfda-e7215b71c2fb,,19563,0.0,02:25:33,20260729,69394,2321,1230175,19.406272888183594,-99.17941284179688,288.0,30.0,108.0,,,,1785296166,2026-07-28 21:36:06-06:00,,,2,L02c01-1 tepalcates - tacubaya,,3,8D1A96,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,7069cd5f-fd42-4116-9770-5e233b9e272f,,,,,,69896,811,1280075,19.508033752441406,-99.17195129394531,0.0,0.0,0.0,,,,1785292181,2026-07-28 20:29:41-06:00,,,,,,,,,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,20a5634f-404b-4435-b03f-4a27a18cc970,,19576,0.0,03:01:40,20260729,69897,812,1280076,19.431385040283203,-99.15876007080078,262.0,0.0,0.0,,,,1785296166,2026-07-28 21:36:06-06:00,,,7,L07h01-1 indios verdes - campo marte,,3,116633,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,f86e64aa-f6bb-4c93-a19c-fa1fb3116b96,,,,,,69898,813,1280077,19.508073806762695,-99.17219543457031,0.0,0.0,0.0,,,,1785288368,2026-07-28 19:26:08-06:00,,,,,,,,,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,9b63a144-d9d7-4d14-8d23-8957738820ce,,19578,0.0,02:38:43,20260729,69899,814,1280078,19.487768173217773,-99.11402893066406,0.0,0.0,0.0,,,,1785296168,2026-07-28 21:36:08-06:00,,,7,L07h02-1 hospital infantil - campo marte,,3,116633,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,085a36e9-6353-4f6c-8b59-4bc64a7199d3,,,,,,69900,815,1280079,19.50811767578125,-99.17217254638672,0.0,0.0,0.0,,,,1785287576,2026-07-28 19:12:56-06:00,,,,,,,,,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,6ddd6f0c-f776-4ebf-96e3-d59a0ac6b070,,,,,,69901,816,1280080,19.50806999206543,-99.17195129394531,0.0,0.0,0.0,,,,1785290940,2026-07-28 20:09:00-06:00,,,,,,,,,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-07-29T03:36:23Z,2026-07-29,20260729T033620Z,0834d420-e759-408e-83d7-52c79c15cd58,,19576,0.0,03:31:30,20260729,69902,817,1280081,19.480350494384766,-99.1204605102539,199.0,38.0,136.8,,,,1785296176,2026-07-28 21:36:16-06:00,,,7,L07h01-1 indios verdes - campo marte,,3,116633,FFFFFF,,,,,,
