_source_system,_source_table,_extracted_at_utc,_snapshot_date,_snapshot_id,entity_id,trip_id,route_id,direction_id,start_time,start_date,vehicle_id,vehicle_label,license_plate,latitude,longitude,bearing,speed_mps,speed_kmh,current_stop_sequence,stop_id,current_status,timestamp_raw,timestamp_cdmx,congestion_level,occupancy_status,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station
metrobus,metrobus_vehicle_positions_enriched,2026-08-19T21:43:39Z,2026-08-19,20260819T214335Z,c01be100-621b-4b79-a169-8c4fba1db543,,19473,0.0,21:04:19,20260819,69379,2306,1240002,19.48653793334961,-99.1221923828125,292.0,15.0,54.0,,,,1787175797,2026-08-19 15:43:17-06:00,,,6,L06g02-1 villa de aragón - ipn,,3,E44599,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-19T21:43:39Z,2026-08-19,20260819T214335Z,c62c378a-abb1-4a6d-a47c-fc0457738ec9,,19563,0.0,20:39:45,20260819,69378,2305,1240001,19.399051666259766,-99.16748046875,346.0,30.0,108.0,,,,1787175797,2026-08-19 15:43:17-06:00,,,2,L02c01-1 tepalcates - tacubaya,,3,8D1A96,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-19T21:43:39Z,2026-08-19,20260819T214335Z,0b817e63-22f5-40e0-b620-31122409cec4,,19474,0.0,21:12:46,20260819,69377,2304,1230200,19.510417938232422,-99.19872283935547,199.0,39.0,140.4,,,,1787175800,2026-08-19 15:43:20-06:00,,,6,L06g03-1 dep. 18 de marzo - el rosario,,3,E44599,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-19T21:43:39Z,2026-08-19,20260819T214335Z,92eb9f62-ceeb-4e2c-b58f-129353cbc0b5,,19566,0.0,21:37:00,20260819,69376,2303,1230199,19.388721466064453,-99.0576171875,305.0,20.0,72.0,,,,1787175797,2026-08-19 15:43:17-06:00,,,2,L02c03-1 tepalcates - col. del valle,,3,8D1A96,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-19T21:43:39Z,2026-08-19,20260819T214335Z,d69ed44f-146b-4984-93f6-88676bd5406c,,19562,1.0,21:27:32,20260819,69375,2302,1230198,19.396102905273438,-99.1589584350586,945.0,44.0,158.4,,,,1787175794,2026-08-19 15:43:14-06:00,,,2,L02c01-2 tacubaya - tepalcates,,3,8D1A96,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-19T21:43:39Z,2026-08-19,20260819T214335Z,b654c93a-174c-4199-a90f-f57179c757d9,,,,,,70014,1210,001A196,19.49782371520996,-99.11956024169922,0.0,0.0,0.0,,,,1787175798,2026-08-19 15:43:18-06:00,,,,,,,,,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-19T21:43:39Z,2026-08-19,20260819T214335Z,18967831-c784-4fd7-bfb8-6c367dc9b953,,19470,0.0,20:39:16,20260819,69382,2309,1240005,19.511768341064453,-99.19759368896484,264.0,0.0,0.0,,,,1787175797,2026-08-19 15:43:17-06:00,,,6,L06g01-1 villa de aragón - el rosario,,3,E44599,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-19T21:43:39Z,2026-08-19,20260819T214335Z,3c944fa6-760d-4dee-b865-6f1f40155099,,19473,0.0,21:16:23,20260819,69381,2308,1240004,19.47887420654297,-99.09721374511719,294.0,16.0,57.6,,,,1787175795,2026-08-19 15:43:15-06:00,,,6,L06g02-1 villa de aragón - ipn,,3,E44599,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-19T21:43:39Z,2026-08-19,20260819T214335Z,ed8c942e-3e19-462e-bada-b337696d5aec,,19473,0.0,21:08:40,20260819,69380,2307,1240003,19.48866081237793,-99.11679077148438,289.0,0.0,0.0,,,,1787175799,2026-08-19 15:43:19-06:00,,,6,L06g02-1 villa de aragón - ipn,,3,E44599,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-19T21:43:39Z,2026-08-19,20260819T214335Z,14fc9901-f73b-4f0e-932a-8418cbe6ed8c,,19563,0.0,20:44:30,20260819,69393,2320,1230174,19.39568328857422,-99.15214538574219,270.0,16.0,57.6,,,,1787175796,2026-08-19 15:43:16-06:00,,,2,L02c01-1 tepalcates - tacubaya,,3,8D1A96,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-19T21:43:39Z,2026-08-19,20260819T214335Z,f1fff6d6-2571-443f-b6fc-df2c4bc2aa9e,,19562,1.0,20:37:22,20260819,69390,2317,1240013,19.392133712768555,-99.04851531982422,121.0,49.0,176.4,,,,1787175803,2026-08-19 15:43:23-06:00,,,2,L02c01-2 tacubaya - tepalcates,,3,8D1A96,FFFFFF,,,,,,
