_source_system,_source_table,_extracted_at_utc,_snapshot_date,_snapshot_id,entity_id,trip_id,route_id,direction_id,start_time,start_date,vehicle_id,vehicle_label,license_plate,latitude,longitude,bearing,speed_mps,speed_kmh,current_stop_sequence,stop_id,current_status,timestamp_raw,timestamp_cdmx,congestion_level,occupancy_status,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station
metrobus,metrobus_vehicle_positions_enriched,2026-08-05T18:55:23Z,2026-08-05,20260805T185518Z,7dad06fc-df7d-472b-ae3d-9a9101255e8d,,19472,1.0,18:46:48,20260805,69379,2306,1240002,19.48358726501465,-99.11390686035156,185.0,7.0,25.2,,,,1785956106,2026-08-05 12:55:06-06:00,,,6,L06g02-2 ipn - villa de aragón,,3,E44599,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-05T18:55:23Z,2026-08-05,20260805T185518Z,d1e42383-71d2-4265-81d7-8d478bd3625c,,19563,0.0,18:48:12,20260805,69378,2305,1240001,19.389846801757812,-99.05955505371094,263.0,0.0,0.0,,,,1785956104,2026-08-05 12:55:04-06:00,,,2,L02c01-1 tepalcates - tacubaya,,3,8D1A96,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-05T18:55:23Z,2026-08-05,20260805T185518Z,a4201720-029d-41e4-b369-50a413d971ca,,19475,1.0,18:40:48,20260805,69377,2304,1230200,19.497472763061523,-99.16505432128906,102.0,0.0,0.0,,,,1785956115,2026-08-05 12:55:15-06:00,,,6,L06g03-2 el rosario- dep. 18 de marzo,,3,E44599,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-05T18:55:23Z,2026-08-05,20260805T185518Z,1337de11-3475-412a-a745-4e50d6716065,,19563,0.0,18:34:35,20260805,69376,2303,1230199,19.384843826293945,-99.0767593383789,305.0,26.0,93.60000000000001,,,,1785956110,2026-08-05 12:55:10-06:00,,,2,L02c01-1 tepalcates - tacubaya,,3,8D1A96,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-05T18:55:23Z,2026-08-05,20260805T185518Z,a9371c33-7344-44d4-b30f-ca629cbf9754,,19566,0.0,18:20:10,20260805,69375,2302,1230198,19.39825439453125,-99.11907958984375,268.0,47.0,169.20000000000002,,,,1785956104,2026-08-05 12:55:04-06:00,,,2,L02c03-1 tepalcates - col. del valle,,3,8D1A96,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-05T18:55:23Z,2026-08-05,20260805T185518Z,7d99cf1b-fcd8-4751-9204-9b13846d27fe,,,,,,70014,1210,001A196,19.497764587402344,-99.1194839477539,0.0,0.0,0.0,,,,1785956111,2026-08-05 12:55:11-06:00,,,,,,,,,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-05T18:55:23Z,2026-08-05,20260805T185518Z,231c840b-a007-4a69-991f-1116552885a5,,19470,0.0,17:55:27,20260805,69382,2309,1240005,19.50267219543457,-99.1791763305664,289.0,0.0,0.0,,,,1785956112,2026-08-05 12:55:12-06:00,,,6,L06g01-1 villa de aragón - el rosario,,3,E44599,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-05T18:55:23Z,2026-08-05,20260805T185518Z,d0733e0c-f7f2-4a88-bbb5-acc3ff14cf35,,19470,0.0,18:46:49,20260805,69381,2308,1240004,19.48027992248535,-99.07568359375,317.0,26.0,93.60000000000001,,,,1785956106,2026-08-05 12:55:06-06:00,,,6,L06g01-1 villa de aragón - el rosario,,3,E44599,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-05T18:55:23Z,2026-08-05,20260805T185518Z,1793b04c-138e-4f13-9f53-3fa84b9a3fa9,,,,,,69380,2307,1240003,19.49034309387207,-99.13245391845703,110.0,0.0,0.0,,,,1785956101,2026-08-05 12:55:01-06:00,,,,,,,,,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-05T18:55:23Z,2026-08-05,20260805T185518Z,9fe2d54c-7be7-4148-92e8-0aaab148635a,,19564,0.0,18:23:41,20260805,69393,2320,1230174,19.39792251586914,-99.10948944091797,281.0,7.0,25.2,,,,1785956107,2026-08-05 12:55:07-06:00,,,2,L02c02-1 tepalcates - etiopía l3,,3,8D1A96,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-05T18:55:23Z,2026-08-05,20260805T185518Z,dde08181-c308-4112-bab9-ab6fec354cde,,,,,,69390,2317,1240013,19.38930892944336,-99.05838012695312,0.0,0.0,0.0,,,,1784858564,2026-07-23 20:02:44-06:00,,,,,,,,,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-05T18:55:23Z,2026-08-05,20260805T185518Z,98772efc-1cf0-42e1-9635-22681cc2181b,,19474,0.0,18:30:47,20260805,69389,2316,1240012,19.5041446685791,-99.18428039550781,281.0,19.0,68.4,,,,1785956108,2026-08-05 12:55:08-06:00,,,6,L06g03-1 dep. 18 de marzo - el rosario,,3,E44599,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-05T18:55:23Z,2026-08-05,20260805T185518Z,e0558dc2-b3ff-45be-8fa3-a42570b6b3bd,,19470,0.0,18:05:01,20260805,69388,2315,1240011,19.49858856201172,-99.16963958740234,282.0,32.0,115.2,,,,1785956108,2026-08-05 12:55:08-06:00,,,6,L06g01-1 villa de aragón - el rosario,,3,E44599,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-05T18:55:23Z,2026-08-05,20260805T185518Z,f1d24614-0da2-439f-9a6d-c9cb86121e17,,19474,0.0,18:39:11,20260805,69387,2314,1240010,19.49745750427246,-99.16455078125,284.0,0.0,0.0,,,,1785956115,2026-08-05 12:55:15-06:00,,,6,L06g03-1 dep. 18 de marzo - el rosario,,3,E44599,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-05T18:55:23Z,2026-08-05,20260805T185518Z,7098cb79-bec7-471a-bb4a-22cd7438fb21,,19565,1.0,18:17:41,20260805,69386,2313,1240009,19.38336753845215,-99.0654525756836,101.0,16.0,57.6,,,,1785956110,2026-08-05 12:55:10-06:00,,,2,L02c02-2 etiopía l3 - tepalcates,,3,8D1A96,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-05T18:55:23Z,2026-08-05,20260805T185518Z,b2fa728f-6899-4bed-a6d1-547f7154f055,,19475,1.0,18:51:41,20260805,69385,2312,1240008,19.51067352294922,-99.19186401367188,113.0,32.0,115.2,,,,1785956112,2026-08-05 12:55:12-06:00,,,6,L06g03-2 el rosario- dep. 18 de marzo,,3,E44599,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-05T18:55:23Z,2026-08-05,20260805T185518Z,21c55c4d-9296-4582-b047-c03cf85a8e99,,19470,0.0,17:51:54,20260805,69383,2310,1240006,19.511112213134766,-99.19245910644531,281.0,22.0,79.2,,,,1785956111,2026-08-05 12:55:11-06:00,,,6,L06g01-1 villa de aragón - el rosario,,3,E44599,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-05T18:55:23Z,2026-08-05,20260805T185518Z,5ccf6a96-5d28-4db0-aa98-43c1e3830baa,,19472,1.0,18:50:39,20260805,69198,800,1320055,19.487335205078125,-99.12429809570312,108.0,32.0,115.2,,,,1785956096,2026-08-05 12:54:56-06:00,,,6,L06g02-2 ipn - villa de aragón,,3,E44599,FFFFFF,,,,,,
metrobus,metrobus_vehicle_positions_enriched,2026-08-05T18:55:23Z,2026-08-05,20260805T185518Z,9d2cd714-9a2e-43d3-9948-319da6c499b3,,19578,0.0,18:46:39,20260805,69886,801,1280065,19.47260093688965,-99.12329864501953,199.0,18.0,64.8,,,,1785956111,2026-08-05 12:55:11-06:00,,,7,L07h02-1 hospital infantil - campo marte,,3,116633,FFFFFF,,,,,,
