_source_system,_source_table,_extracted_at_utc,_snapshot_date,_snapshot_id,query_timestamp,origin,destination,travel_mode,route_found,distance_meters,duration_seconds,static_duration_seconds,duration_minutes,static_duration_minutes,delay_seconds,delay_minutes,traffic_delay_pct,encoded_polyline,description,route_labels
google_routes,routes_api_drive_pairs,2026-08-25T14:21:07Z,2026-08-25,20260825T142103Z,2026-08-25T14:21:04.872101,Metro Universidad,Rectoria UNAM,DRIVE,True,2330,422.0,429.0,7.033333333333333,7.15,-7.0,-0.11666666666666667,-1.631701631701632,mh}tBxai|QwAIcDAuCGqDFkCLoBTk@NYPgDdDgGhDMPeBnHKTgCUIV@h@nBLDFf@Xf@`@tA`BN\HXDj@BfGDzDJtEDbFA`C`AtQU?I[KCgABQBSCYD,Investigación Científica y Escolar,DEFAULT_ROUTE
google_routes,routes_api_drive_pairs,2026-08-25T14:21:07Z,2026-08-25,20260825T142103Z,2026-08-25T14:21:05.166365,Metro Copilco,Rectoria UNAM,DRIVE,True,1714,289.0,322.0,4.816666666666666,5.366666666666666,-33.0,-0.55,-10.248447204968947,}n_uBzli|QPo@rHxBf@\RXv@vBNn@Lz@JTb@f@`CFnBLDFf@Xf@`@tA`BN\HXDj@BfGDzDJtEDbFA`C`AtQU?I[KCgABQBSCYD,Escolar,DEFAULT_ROUTE
google_routes,routes_api_drive_pairs,2026-08-25T14:21:07Z,2026-08-25,20260825T142103Z,2026-08-25T14:21:05.465970,Metro Universidad,Facultad de Medicina UNAM,DRIVE,True,2697,508.0,536.0,8.466666666666667,8.933333333333334,-28.0,-0.4666666666666667,-5.223880597014929,mh}tBxai|QwAIcDAuCGqDFkCLoBTk@NYPgDdDgGhDMPeBnHKTiHm@m@?o@Lk@Vm@n@Wd@iDbO_@pBgC~JeBrHVZPDZEPMMaD@e@He@`@eBh@?PFLVb@zEZBTKU_EZ?LlB^CJG?U,Investigación Científica y Escolar,DEFAULT_ROUTE
google_routes,routes_api_drive_pairs,2026-08-25T14:21:07Z,2026-08-25,20260825T142103Z,2026-08-25T14:21:05.760083,Metro Copilco,Facultad de Medicina UNAM,DRIVE,True,1883,327.0,385.0,5.45,6.416666666666667,-58.0,-0.9666666666666667,-15.06493506493507,}n_uBzli|QPo@rHxBf@\RXv@vBNn@Ff@e@Be@Le@Xg@h@Wd@iDbO_@pBgC~JeBrHVZPDZEPMMaD@e@He@`@eBh@?PFLVb@zEZBTKU_EZ?LlB^CJG?U,Escolar/Paseo de Las Facultades,DEFAULT_ROUTE
google_routes,routes_api_drive_pairs,2026-08-25T14:21:07Z,2026-08-25,20260825T142103Z,2026-08-25T14:21:06.049633,Metro Indios Verdes,IPN Zacatenco,DRIVE,True,3871,647.0,654.0,10.783333333333333,10.9,-7.0,-0.11666666666666667,-1.0703363914373099,yu~uBfi~{Q|Ep@`DXzAVv@RhAPdDx@nBr@~Av@rAz@~HfGt@|B^vAdChBo@lCwClKcBrGmDjM{D`OSdAoAnJsApJq@nEUnC?Ps@xHcBWs@Mq@Jq@CYLSZ}NmA_D[oDe@wOiBHcA,Av. Montevideo/Eje 5 Nte,DEFAULT_ROUTE
google_routes,routes_api_drive_pairs,2026-08-25T14:21:07Z,2026-08-25,20260825T142103Z,2026-08-25T14:21:06.395370,Zocalo,Rectoria UNAM,DRIVE,True,17175,3350.0,2502.0,55.833333333333336,41.7,848.0,14.133333333333333,33.892885691446835,iuruBtba|QcE[s@@c@AwBUv@yKt@cLfDXtF\~@JhTzA`Il@~Il@r@SXl@Tz@@PYhIfBL|EXpCVxDf@fEb@z\vC`DZ`Hd@`ShBfBLzCZbDf@v@F`ENxEZxOtAbDZdPvA`DTbZlCxLdAxe@xD`k@vEvPtA`BLzM|@lXzBf@@^?bR~AhYrCHFbHp@pFj@fU`DhFbAvRzD~ARhCPlCDfEStAQhYoErG_Av@b@j@t@`@v@Ln@H`Ac@fGDTO`ByG~_A}ArVMlAq@dLMlC{Cxf@lXhBh@P~@z@|VrU\Vb@NpDbAxJvCf@\RXv@vBNn@Lz@JTb@f@`CFnBLDFf@Xf@`@tA`BN\HXDj@BfGDzDJtEDbFA`C`AtQU?I[KCgABQBSCYD,Calz. de Tlalpan,DEFAULT_ROUTE
google_routes,routes_api_drive_pairs,2026-08-25T14:21:07Z,2026-08-25,20260825T142103Z,2026-08-25T14:21:06.722229,Angel de la Independencia,Rectoria UNAM,DRIVE,True,18917,3485.0,2704.0,58.083333333333336,45.06666666666667,781.0,13.016666666666667,28.883136094674565,_iquBnrg|QWCWBk@sAmGcQNMHU@U^g@~MwFfAk@rD{AjBu@VIJAs@sFY{AKYEI}AqKc@cDuBqOGy@?cALQ@gAn@wTZoJhAuO`B}Vx@wMBa@ZuHE]VeH\_FLYHqALOJAhBN^CRE~Ef@z\vC`DZ`Hd@`ShBfBLzCZbDf@v@F`ENxEZxOtAbDZdPvA`DTbZlCxLdAxe@xD`k@vEvPtA`BLzM|@lXzBf@@^?bR~AhYrCHFbHp@pFj@fU`DhFbAvRzD~ARhCPlCDfEStAQhYoErG_Av@b@j@t@`@v@Ln@H`Ac@fGDTO`ByG~_A}ArVMlAq@dLMlC{Cxf@lXhBh@P~@z@|VrU\Vb@NpDbAxJvCf@\RXv@vBNn@Lz@JTb@f@`CFnBLDFf@Xf@`@tA`BN\HXDj@BfGDzDJtEDbFA`C`AtQU?I[KCgABQBSCYD,Calz. de Tlalpan,DEFAULT_ROUTE
google_routes,routes_api_drive_pairs,2026-08-25T14:21:07Z,2026-08-25,20260825T142103Z,2026-08-25T14:21:07.028363,WTC,Rectoria UNAM,DRIVE,True,13097,1699.0,1378.0,28.316666666666666,22.966666666666665,321.0,5.35,23.294629898403475,gujuBfxh|QBVTBRZtEhRJt@@L~I`G|EsAjQkFjBnVVpRAPAHQTJhFIzHQvG?pB`@hKP|AZdA\^h@b@bKhFbBz@dA\~AVtAHvAAtAM`OaD^KbDqAt@O~@ElAFJCLKzIh@x@Av@IdAWbBi@z@OlA?hI^pAAbAIfAQhA[zEwBt@Q~@ErFXfIj@zFVlAL|AXbA\zAt@hA|@dDpD~@hAlGrI|@fBVj@v@|CtAvF`@dAb@r@t@|@nA`AxCdBtAn@fFvAvAXdKvAvBRlInA~HpBbFp@fEh@vCLbH^dGT|APl@JfFvArAj@~A|@jAz@`A|@vAbBnMjPxAvAdBrA`LfHRBz@d@ZBR?f@OXUN_@D_@Cc@g@iC_CcIKSDm@NuA@g@Mi@mBkFOWYeAwAuQCi@Q{@JcBR_A?_@i@sGFSOaBFKg@wFFg@Ra@POFE`@I`AELCvCuAlGaDdBeApAiBrCeGp@qAdC_EL]Fq@A]Mc@Y_@i@][MOSCQFa@JWXUBEfALRHTV^dAJFTBXKLSBOc@iHGUUQ_@I{@l@aAf@_ERu@Hy@u@Ue@Ko@YeDUCMFEDNlCU?I[KCgABQBSCYD,Anillo Perif./Segundo Piso del Anillo Perif.,DEFAULT_ROUTE
