incident_key,codigo_postal,crime_type,centroid_id,centroid_lat,centroid_lon,n_events,resolver_unit_id,resolver_name,resolver_category,resolver_category_label,resolver_lat,resolver_lon,allowed_resolver_categories,route_source,routing_status,distance_meters,duration_seconds,duration_minutes,static_duration_seconds,delay_seconds,encoded_polyline,route_description,generated_at_utc
06350_otros_robos_1,06350,Otros robos,1,19.4469463,-99.1518391,518,osm_node_4878881532,Policia Auxiliar,police,Seguridad / vigilancia,19.4535805,-99.1523035,police,google_routes,ok,2656.0,648.0,10.8,662.0,-14.0,sovuBfsd|QrGr@^@PEpGv@lNxAqBvSfa@hEt@aIjB_TqPo@g@Eg@Q][]q@OQQKBWW?OHGPU~A,Dr. Atl,2026-06-06T17:36:02+00:00
06700_robo_a_casa_habitacion_1,06700,Robo a casa habitación,1,19.4171446,-99.159368,225,osm_node_7158690385,Estación de policía Roma,police,Seguridad / vigilancia,19.4117187,-99.1589261,police,google_routes,ok,754.0,272.0,4.533333333333333,240.0,32.0,ojnuBd~e|QHe@?eCiHjAePhCEg@{Dl@Fd@s@J,C. Orizaba,2026-06-06T17:36:04+00:00
08500_robo_a_casa_habitacion_1,08500,Robo a casa habitación,1,19.3918903,-99.0667464,135,osm_node_1477979999,Seguridad / vigilancia,police,Seguridad / vigilancia,19.3904466,-99.0637351,police,google_routes,ok,573.0,153.0,2.55,137.0,16.0,qejuBlks{Q[GDo@~@LyBfUkEm@,Sur 20,2026-06-06T17:36:05+00:00
03023_robo_a_casa_habitacion_1,03023,Robo a casa habitación,1,19.3886899,-99.1513451,128,osm_node_3779138327,Seguridad / vigilancia,police,Seguridad / vigilancia,19.4011561,-99.1480055,police,google_routes,ok,1617.0,333.0,5.55,321.0,12.0,ehluBryc|Qxb@xARJvBfBvLvKGPG\@VRd@HJZLvBH`@INGNSJe@zO~@H}@,Zempoala y Av. Universidad,2026-06-06T17:36:07+00:00
03020_robo_a_casa_habitacion_2,03020,Robo a casa habitación,2,19.3876936,-99.1582889,116,osm_node_473112375,Seguridad / vigilancia,police,Seguridad / vigilancia,19.3956112,-99.1690504,police,google_routes,ok,2164.0,553.0,9.216666666666667,545.0,8.0,_ekuBt}g|QGh@g@|CaG_AIKCG`BY~@YbAi@~BkBhB_Bd@c@zRqP|AwAh@a@`GaFlB_BJq@PaAjBwM?I`AeH`Ft@DQeEq@,Av. División del Nte.,2026-06-06T17:36:09+00:00
03020_robo_a_casa_habitacion_1,03020,Robo a casa habitación,1,19.3965861,-99.1572879,115,osm_node_3779138327,Seguridad / vigilancia,police,Seguridad / vigilancia,19.4011561,-99.1480055,police,google_routes,ok,1575.0,473.0,7.883333333333334,423.0,50.0,ehluBryc|QnADnBzD~@pB`DrGHTfBlDf@jAEbCCzQ]lLxM`@HgCiBG,Diag. San Antonio y La Morena,2026-06-06T17:36:10+00:00
07840_robo_a_negocio_1,07840,Robo a negocio,1,19.4718334,-99.1212019,1301,osm_node_1677057517,"Oficina de Policia ""SSPDF GAM 6 Tepeyac""",police,Seguridad / vigilancia,19.4746457,-99.1314248,police,google_routes,ok,2170.0,489.0,8.15,538.0,-49.0,qtzuB~q`|QYlAAJ`IzBVB@[tAkFvEdAj@qBtCoL{CsFpBoIP@LK@OAExLeIhAy@oEsA_NwD?SDOkBi@De@CG~@[TDF_@Po@,Calz de Guadalupe,2026-06-06T17:36:12+00:00
06350_robo_a_negocio_2,06350,Robo a negocio,2,19.4435198,-99.1536359,711,osm_node_4878881532,Policia Auxiliar,police,Seguridad / vigilancia,19.4535805,-99.1523035,police,google_routes,ok,2531.0,677.0,11.283333333333333,658.0,19.0,sovuBfsd|QrGr@^@PEpGv@lNxAqBvSfa@hEt@aIjB_Tc@AgA~KmB[aBg@RyA,Dr. Atl,2026-06-06T17:36:13+00:00
09020_robo_a_negocio_1,09020,Robo a negocio,1,19.383654,-99.0783818,675,osm_node_5899997186,Policía,police,Seguridad / vigilancia,19.3767411,-99.0969283,police,google_routes,ok,3087.0,610.0,10.166666666666666,623.0,-13.0,yoguBb{y{QgAm@cBq@uIwDgAi@wDuBuCwAaNuHLi@RcCd@yDZyDAaAt@eGPgAAMv@_EtAkLbAcJ|@gHXgAVq@Je@A_@GUkBkDc@e@Uc@IQAQi@cCi@Lv@hDRh@b@p@Bt@BX^TQBy@Ee@IBc@J@HaAOq@_@kAMe@S_@OGeAMD_AiBQ,Canal Río Churubusco/Eje 4 Ote y Av. Canal de Tezontle,2026-06-06T17:36:16+00:00
06350_robo_a_negocio_1,06350,Robo a negocio,1,19.4471609,-99.1520164,657,osm_node_4878881532,Policia Auxiliar,police,Seguridad / vigilancia,19.4535805,-99.1523035,police,google_routes,ok,2680.0,652.0,10.866666666666667,667.0,-15.0,sovuBfsd|QrGr@^@PEpGv@lNxAqBvSfa@hEt@aIjB_TqPo@g@Eg@Q][]q@OQQKBWW?OHGP]jC,Dr. Atl,2026-06-06T17:36:17+00:00
