codigo_postal,crime_type,centroid_id,centroids_in_group,centroid_lon,centroid_lat,n_events,pct_events_group,radius_p50_m,radius_p90_m,kmeans_reason,d_codigo
01460,Robo en transporte,1,1,-99.193769,19.3753084,4,100.0,268.3,351.9,k=1 porque n=4 < MIN_EVENTS_TO_SPLIT=25,01460
01460,Secuestro,1,1,-99.1965536,19.3753946,1,100.0,0.0,0.0,k=1 porque n=1 < MIN_EVENTS_TO_SPLIT=25,01460
01460,Violencia familiar,1,3,-99.1931067,19.3746419,14,20.0,108.7,207.1,k=3; silhouette=0.466; mejora=0.052,01460
01460,Violencia familiar,2,3,-99.1975588,19.3760369,30,42.86,184.1,243.1,k=3; silhouette=0.466; mejora=0.052,01460
01460,Violencia familiar,3,3,-99.1941587,19.3782044,26,37.14,133.3,255.8,k=3; silhouette=0.466; mejora=0.052,01460
01470,Amenazas,1,2,-99.2015669,19.3737383,23,60.53,141.0,343.2,k=2; silhouette=0.360; mejora=0.360,01470
01470,Amenazas,2,2,-99.1990509,19.3722965,15,39.47,106.6,291.4,k=2; silhouette=0.360; mejora=0.360,01470
01470,Daño a la propiedad,1,2,-99.2017607,19.3728027,33,78.57,175.5,323.2,k=2; silhouette=0.621; mejora=0.621,01470
01470,Daño a la propiedad,2,2,-99.1953069,19.3725528,9,21.43,138.0,197.1,k=2; silhouette=0.621; mejora=0.621,01470
01470,Delitos sexuales,1,1,-99.2004631,19.37409,10,100.0,210.4,307.5,k=1 porque n=10 < MIN_EVENTS_TO_SPLIT=25,01470
01470,Fraude y extorsión,1,2,-99.200795,19.3738466,34,72.34,199.0,398.0,k=2; silhouette=0.388; mejora=0.388,01470
01470,Fraude y extorsión,2,2,-99.1971952,19.3722554,13,27.66,166.0,265.6,k=2; silhouette=0.388; mejora=0.388,01470
01470,Homicidio,1,1,-99.1998723,19.3730276,9,100.0,338.0,443.8,k=1 porque n=9 < MIN_EVENTS_TO_SPLIT=25,01470
01470,Lesiones,1,1,-99.1993208,19.3730144,25,100.0,316.5,405.7,k=1 porque n=25 no alcanza MIN_EVENTS_PER_CENTROID=15,01470
01470,Narcomenudeo,1,1,-99.2005736,19.3725925,10,100.0,280.0,431.1,k=1 porque n=10 < MIN_EVENTS_TO_SPLIT=25,01470
01470,Otros incidentes,1,2,-99.2010051,19.372963,108,73.47,203.6,379.4,k=2; silhouette=0.418; mejora=0.418,01470
01470,Otros incidentes,2,2,-99.1964675,19.3726264,39,26.53,200.8,238.8,k=2; silhouette=0.418; mejora=0.418,01470
