unit_id,name,category,lat,lon,operator,osm_type,osm_id,source,category_label
osm_node_11413689879,Base Colon Zona 10,police,19.4898694,-99.2248147,,node,11413689879,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_11458661504,Seguridad / vigilancia,police,19.4774585,-99.052117,,node,11458661504,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_11484310471,Centro Azcapotzalco de Respuesta a Emergencias,police,19.4880016,-99.2084233,,node,11484310471,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_11788866069,Centro de Salud T.I Copilco el Alto,hospital,19.33267,-99.1775931,"Secretaría de Salud, Gobierno de la Ciudad de México",node,11788866069,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_12401504308,Módulo de Policía,police,19.3443046,-99.2737244,,node,12401504308,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_12401537001,Módulo de Policía,police,19.3442214,-99.2737112,,node,12401537001,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_12505483357,Healthy me by pam,hospital,19.383611,-99.2511293,,node,12505483357,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_12508247105,Hospital Municipal Huixquilucan Santos Degollado Bicentenario,hospital,19.3594923,-99.3528917,,node,12508247105,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_12523839701,Centro Infantil Magdalena,hospital,19.4128493,-99.3228814,,node,12523839701,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_12544975713,Vista Diagnostica,hospital,19.3591631,-99.2746158,,node,12544975713,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_12545928605,Clinica Medica Maternidad Dr. Adrian,hospital,19.4185444,-99.2713569,,node,12545928605,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_12547343921,Clinica Imss,hospital,19.304212,-99.2485826,,node,12547343921,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_12547365730,Centro Especializado De Atencion Primaria A La Salud Palo Solo,hospital,19.4144681,-99.2719779,,node,12547365730,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_12547812266,Clinica Del Carmen,hospital,19.3567934,-99.3002705,,node,12547812266,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_12554794482,Servicio Médico,hospital,19.4896396,-99.2710247,,node,12554794482,openstreetmap_overpass_cached,Salud / emergencia medica
