_source_system,_source_table,_extracted_at_utc,_snapshot_date,_snapshot_id,station_id,external_id,station_name,short_name,lat,lon,rental_methods,capacity,electric_bike_surcharge_waiver,is_charging_info,eightd_has_key_dispenser,has_kiosk,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,is_charging_status,last_reported_datetime,bike_availability_pct,dock_availability_pct
ecobici,ecobici_realtime_stations,2026-06-08T23:49:26Z,2026-06-08,20260608T234925Z,212,25cb18bd-cb86-4e8b-bebf-327504da8827,CE-282 La Morena-Eje 2 Poniente Gabriel Mancera,282,19.398719270170474,-99.16128046816084,"['CREDITCARD', 'KEY']",19,False,False,False,True,3,2,14,0,1,1,1,1780962423,False,False,2026-06-08 23:47:03,0.15789473684210525,0.7368421052631579
ecobici,ecobici_realtime_stations,2026-06-08T23:49:26Z,2026-06-08,20260608T234925Z,213,25875bdc-ed4e-46d6-8ea0-5312a6acb0b7,CE-320 Enrique Rébsamen-Luz Saviñón,320,19.391374,-99.159327,"['CREDITCARD', 'KEY']",19,False,False,False,True,4,2,13,0,1,1,1,1780961903,False,False,2026-06-08 23:38:23,0.21052631578947367,0.6842105263157895
ecobici,ecobici_realtime_stations,2026-06-08T23:49:26Z,2026-06-08,20260608T234925Z,214,59c0ad8a-96c5-4cc8-8805-67185b93dde3,CE-044 Durango - Veracruz,044,19.418781,-99.174413,"['CREDITCARD', 'KEY']",25,False,False,False,True,5,1,19,0,1,1,1,1780962525,False,False,2026-06-08 23:48:45,0.2,0.76
ecobici,ecobici_realtime_stations,2026-06-08T23:49:26Z,2026-06-08,20260608T234925Z,215,1d89caaa-34ad-423c-baef-9238e98adcd1,CE-114 Lucerna-Abraham González,114,19.428989,-99.153618,"['CREDITCARD', 'KEY']",23,False,False,False,True,1,2,20,0,1,1,1,1780961510,False,False,2026-06-08 23:31:50,0.043478260869565216,0.8695652173913043
ecobici,ecobici_realtime_stations,2026-06-08T23:49:26Z,2026-06-08,20260608T234925Z,216,85ac1483-f82c-480d-96c6-79d70aabed25,CE-322 Heriberto Frías-Concepción Beistegui,322,19.388456876549792,-99.16064277296753,"['CREDITCARD', 'KEY']",27,False,False,False,True,0,0,27,0,1,1,1,1780959330,False,False,2026-06-08 22:55:30,0.0,1.0
ecobici,ecobici_realtime_stations,2026-06-08T23:49:26Z,2026-06-08,20260608T234925Z,217,269a21a7-ed01-48e9-8478-d8ec3ac0dbe8,CE-318 Luz Saviñón-Amores,318,19.392195,-99.163987,"['CREDITCARD', 'KEY']",23,False,False,False,True,4,0,19,0,1,1,1,1780961518,False,False,2026-06-08 23:31:58,0.17391304347826086,0.8260869565217391
ecobici,ecobici_realtime_stations,2026-06-08T23:49:26Z,2026-06-08,20260608T234925Z,218,fc663fa8-2eac-44cf-b47b-9957d1ac7630,CE-009 Río Guadalquivir - Río Lerma,009,19.428184,-99.170013,"['CREDITCARD', 'KEY']",19,False,False,False,True,0,3,16,0,1,1,1,1780962340,False,False,2026-06-08 23:45:40,0.0,0.8421052631578947
ecobici,ecobici_realtime_stations,2026-06-08T23:49:26Z,2026-06-08,20260608T234925Z,219,10ab9ff7-ad23-4b67-8582-05099073027a,CE-234 Tres Picos-Arquímides,234,19.42786220267939,-99.1914046928423,"['CREDITCARD', 'KEY']",27,False,False,False,True,0,4,23,0,1,1,1,1780962002,False,False,2026-06-08 23:40:02,0.0,0.8518518518518519
ecobici,ecobici_realtime_stations,2026-06-08T23:49:26Z,2026-06-08,20260608T234925Z,220,3c179e0f-4408-4e0c-9c28-96b72ae18434,CE-339 Enrique Rébsamen-Avenida Eugenia,339,19.386212,-99.160583,"['CREDITCARD', 'KEY']",23,False,False,False,True,0,1,22,0,1,1,1,1780960194,False,False,2026-06-08 23:09:54,0.0,0.9565217391304348
ecobici,ecobici_realtime_stations,2026-06-08T23:49:26Z,2026-06-08,20260608T234925Z,221,37b1fb2b-0085-4fd4-be73-194059e3b139,CE-188 Gobernador Melchor Múzquiz-Gobernador Ignacio Esteva,188,19.411711,-99.190139,"['CREDITCARD', 'KEY']",19,False,False,False,True,3,1,15,0,1,1,1,1780962559,False,False,2026-06-08 23:49:19,0.15789473684210525,0.7894736842105263
ecobici,ecobici_realtime_stations,2026-06-08T23:49:26Z,2026-06-08,20260608T234925Z,222,7b11371a-d663-4e80-a309-a7f724841d94,CE-298 Romero de Terreros-Gabriel Mancera,298,19.394092,-99.162139,"['CREDITCARD', 'KEY']",19,False,False,False,True,14,2,3,0,1,1,1,1780962199,False,False,2026-06-08 23:43:19,0.7368421052631579,0.15789473684210525
ecobici,ecobici_realtime_stations,2026-06-08T23:49:26Z,2026-06-08,20260608T234925Z,223,d9baab85-cb4c-4e82-8ae7-0fe7caeee6db,CE-189 Gobernador Rafael Rebollar-Gobernador José Ceballos,189,19.410046050731914,-99.18795973067971,"['CREDITCARD', 'KEY']",19,False,False,False,True,0,0,19,0,1,1,1,1780961528,False,False,2026-06-08 23:32:08,0.0,1.0
ecobici,ecobici_realtime_stations,2026-06-08T23:49:26Z,2026-06-08,20260608T234925Z,224,b7fa58f7-e27f-463a-8c56-132e8fb5b151,CE-249 Shakespeare-Darwin,249,19.42988388240091,-99.1775936633894,"['CREDITCARD', 'KEY']",15,False,False,False,True,0,0,15,0,1,1,1,1780962189,False,False,2026-06-08 23:43:09,0.0,1.0
ecobici,ecobici_realtime_stations,2026-06-08T23:49:26Z,2026-06-08,20260608T234925Z,225,074797ef-d08c-4996-bd69-47a6e3838d33,CE-043 Revillagigedo - Juárez,043,19.4351365,-99.1460756,"['CREDITCARD', 'KEY']",31,False,False,False,True,26,2,3,0,1,1,1,1780962413,False,False,2026-06-08 23:46:53,0.8387096774193549,0.0967741935483871
ecobici,ecobici_realtime_stations,2026-06-08T23:49:26Z,2026-06-08,20260608T234925Z,226,20deee9d-56a1-417d-b2d2-57b75641a5bf,CE-469 Bahía de la Concepción-Bahía de Todos Los Santos,469,19.434183,-99.173089,"['CREDITCARD', 'KEY']",27,False,False,False,True,5,0,22,0,1,1,1,1780962481,False,False,2026-06-08 23:48:01,0.18518518518518517,0.8148148148148148
ecobici,ecobici_realtime_stations,2026-06-08T23:49:26Z,2026-06-08,20260608T234925Z,227,7bfc09be-39d8-4bae-ae8d-fbbbe8377c44,CE-472 Bahía de Santa Bárbara-Bahía de Ballenas,472,19.437667,-99.17711,"['CREDITCARD', 'KEY']",23,False,False,False,True,4,3,16,0,1,1,1,1780962540,False,False,2026-06-08 23:49:00,0.17391304347826086,0.6956521739130435
ecobici,ecobici_realtime_stations,2026-06-08T23:49:26Z,2026-06-08,20260608T234925Z,228,24e36422-4f14-4392-9674-4c07d34dfd5e,CE-048 Independencia - Azueta,048,19.433705,-99.146665,"['CREDITCARD', 'KEY']",11,False,False,False,True,5,2,4,0,1,1,1,1780962546,False,False,2026-06-08 23:49:06,0.45454545454545453,0.36363636363636365
ecobici,ecobici_realtime_stations,2026-06-08T23:49:26Z,2026-06-08,20260608T234925Z,229,4181d396-39f8-4ccc-835a-31deeb19015b,CE-181 Benjamín Franklin - Ometusco,181,19.404825166337652,-99.17472235863897,"['CREDITCARD', 'KEY']",27,False,False,False,True,22,1,4,0,1,1,1,1780962123,False,False,2026-06-08 23:42:03,0.8148148148148148,0.14814814814814814
ecobici,ecobici_realtime_stations,2026-06-08T23:49:26Z,2026-06-08,20260608T234925Z,230,4820ed30-2db1-4280-ae46-f8b03dbb2e5b,CE-246 Leibnitz-Thiers,246,19.434147,-99.179835,"['CREDITCARD', 'KEY']",15,False,False,False,True,0,0,15,0,1,1,1,1780962044,False,False,2026-06-08 23:40:44,0.0,1.0
ecobici,ecobici_realtime_stations,2026-06-08T23:49:26Z,2026-06-08,20260608T234925Z,231,62bc9c0d-6177-47b0-9a43-a8e3990c47b8,CE-479 Lago Muritz-Av.Marina Nacional,479,19.444433,-99.179664,"['CREDITCARD', 'KEY']",25,False,False,False,True,2,1,22,0,1,1,1,1780961060,False,False,2026-06-08 23:24:20,0.08,0.88
ecobici,ecobici_realtime_stations,2026-06-08T23:49:26Z,2026-06-08,20260608T234925Z,232,176bc26a-c15d-4a25-a599-51025bb57a2d,CE-281 Pitágoras-La Morena,281,19.398532,-99.157308,"['CREDITCARD', 'KEY']",31,False,False,False,True,4,5,22,0,1,1,1,1780961852,False,False,2026-06-08 23:37:32,0.12903225806451613,0.7096774193548387
