_source_system,_source_table,_extracted_at_utc,_snapshot_date,_snapshot_id,station_id,external_id,station_name,short_name,lat,lon,rental_methods,capacity,electric_bike_surcharge_waiver,is_charging_info,eightd_has_key_dispenser,has_kiosk,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,is_charging_status,last_reported_datetime,bike_availability_pct,dock_availability_pct
ecobici,ecobici_realtime_stations,2026-08-07T15:30:51Z,2026-08-07,20260807T153050Z,1,e961269c-34c4-4b70-8e30-a51aa95a8429,CE-710 Molino del Rey - Glorieta de la Lealtad,710,19.416795,-99.192508,"['CREDITCARD', 'KEY']",39,False,False,False,True,3,0,36,0,1,1,1,1786116561,False,False,2026-08-07 15:29:21,0.07692307692307693,0.9230769230769231
ecobici,ecobici_realtime_stations,2026-08-07T15:30:51Z,2026-08-07,20260807T153050Z,5,3ea89109-d2f3-46eb-9c41-c43742050340,CE-407  Prolongación Xochicalco-General Emiliano Zapata,407,19.36726591257277,-99.15865559132271,"['CREDITCARD', 'KEY']",19,False,False,False,True,4,0,15,0,1,1,1,1786116514,False,False,2026-08-07 15:28:34,0.21052631578947367,0.7894736842105263
ecobici,ecobici_realtime_stations,2026-08-07T15:30:51Z,2026-08-07,20260807T153050Z,6,ba78b703-4e5a-44bd-ab2c-1eedc71e11c3,CE-428  Prolongación Uxmal-Av. Popocatépetl (Eje 8),428,19.363404,-99.160395,"['CREDITCARD', 'KEY']",27,False,False,False,True,2,0,25,0,1,1,1,1786116585,False,False,2026-08-07 15:29:45,0.07407407407407407,0.9259259259259259
ecobici,ecobici_realtime_stations,2026-08-07T15:30:51Z,2026-08-07,20260807T153050Z,7,6563d263-2342-46e3-8983-461e68d2d615,CE-483 Colegio Salesiano - Marina Nacional,483,19.44304,-99.17759,"['CREDITCARD', 'KEY']",23,False,False,False,True,1,0,22,0,1,1,1,1786115901,False,False,2026-08-07 15:18:21,0.043478260869565216,0.9565217391304348
ecobici,ecobici_realtime_stations,2026-08-07T15:30:51Z,2026-08-07,20260807T153050Z,8,ec55e597-c8fc-4e86-bcfe-b0e81a494790,CE-443 Bruno Traven-Golondrinas,443,19.359583,-99.162085,"['CREDITCARD', 'KEY']",31,False,False,False,True,0,2,29,0,1,0,1,1786097076,False,False,2026-08-07 10:04:36,0.0,0.9354838709677419
ecobici,ecobici_realtime_stations,2026-08-07T15:30:51Z,2026-08-07,20260807T153050Z,9,a98c7fac-12ce-4895-923b-6b39f04721ca,CE-423 Moras-José María Rico (Eje 8),423,19.367816,-99.175269,"['CREDITCARD', 'KEY']",23,False,False,False,True,3,0,20,0,1,1,1,1786115670,False,False,2026-08-07 15:14:30,0.13043478260869565,0.8695652173913043
ecobici,ecobici_realtime_stations,2026-08-07T15:30:51Z,2026-08-07,20260807T153050Z,10,ae1c2b82-7148-41c2-acd1-d9280241f87e,CE-438 Adolfo Prieto-José María Olloqui,438,19.36473,-99.174447,"['CREDITCARD', 'KEY']",23,False,False,False,True,1,1,21,0,1,1,1,1786116325,False,False,2026-08-07 15:25:25,0.043478260869565216,0.9130434782608695
ecobici,ecobici_realtime_stations,2026-08-07T15:30:51Z,2026-08-07,20260807T153050Z,11,f6484d2e-8282-41e6-a023-1afb53dae580,CE-415 San Francisco-Parroquia,415,19.37099,-99.176135,"['CREDITCARD', 'KEY']",27,False,False,False,True,0,2,25,0,1,1,1,1786115928,False,False,2026-08-07 15:18:48,0.0,0.9259259259259259
ecobici,ecobici_realtime_stations,2026-08-07T15:30:51Z,2026-08-07,20260807T153050Z,12,90714c5e-7256-4744-a55d-9370f26d89bd,CE-417 Goya-Augusto Rodin,417,19.373447,-99.184465,"['CREDITCARD', 'KEY']",27,False,False,False,True,3,0,24,0,1,1,1,1786115268,False,False,2026-08-07 15:07:48,0.1111111111111111,0.8888888888888888
ecobici,ecobici_realtime_stations,2026-08-07T15:30:51Z,2026-08-07,20260807T153050Z,14,1995f5cd-611e-4571-832d-57f4d19ffc57,CE-022 Reforma - Manchester,022,19.424784,-99.172119,"['CREDITCARD', 'KEY']",35,False,False,False,True,6,1,28,0,1,1,1,1786116579,False,False,2026-08-07 15:29:39,0.17142857142857143,0.8
