_source_system,_source_table,_extracted_at_utc,_snapshot_date,_snapshot_id,station_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,is_charging,last_reported_datetime
ecobici,ecobici_gbfs_station_status,2026-07-18T03:41:47Z,2026-07-18,20260718T034146Z,1,2,1,36,0,1,1,1,1784345590,False,False,2026-07-18 03:33:10
ecobici,ecobici_gbfs_station_status,2026-07-18T03:41:47Z,2026-07-18,20260718T034146Z,5,3,1,15,0,1,1,1,1784344879,False,False,2026-07-18 03:21:19
ecobici,ecobici_gbfs_station_status,2026-07-18T03:41:47Z,2026-07-18,20260718T034146Z,6,5,0,22,0,1,1,1,1784343847,False,False,2026-07-18 03:04:07
ecobici,ecobici_gbfs_station_status,2026-07-18T03:41:47Z,2026-07-18,20260718T034146Z,7,0,0,23,0,1,1,1,1784344238,False,False,2026-07-18 03:10:38
ecobici,ecobici_gbfs_station_status,2026-07-18T03:41:47Z,2026-07-18,20260718T034146Z,8,3,0,28,0,1,1,1,1784343243,False,False,2026-07-18 02:54:03
ecobici,ecobici_gbfs_station_status,2026-07-18T03:41:47Z,2026-07-18,20260718T034146Z,9,1,0,22,0,1,1,1,1784344870,False,False,2026-07-18 03:21:10
ecobici,ecobici_gbfs_station_status,2026-07-18T03:41:47Z,2026-07-18,20260718T034146Z,10,0,1,22,0,1,1,1,1784343534,False,False,2026-07-18 02:58:54
ecobici,ecobici_gbfs_station_status,2026-07-18T03:41:47Z,2026-07-18,20260718T034146Z,11,0,0,27,0,1,1,1,1784342540,False,False,2026-07-18 02:42:20
ecobici,ecobici_gbfs_station_status,2026-07-18T03:41:47Z,2026-07-18,20260718T034146Z,12,1,0,26,0,1,1,1,1784344731,False,False,2026-07-18 03:18:51
ecobici,ecobici_gbfs_station_status,2026-07-18T03:41:47Z,2026-07-18,20260718T034146Z,14,10,0,25,0,1,1,1,1784346095,False,False,2026-07-18 03:41:35
