_source_system,_source_table,_extracted_at_utc,_snapshot_date,_snapshot_id,station_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,is_charging,last_reported_datetime
ecobici,ecobici_gbfs_station_status,2026-08-06T03:50:11Z,2026-08-06,20260806T035010Z,1,1,0,38,0,1,1,1,1785987345,False,False,2026-08-06 03:35:45
ecobici,ecobici_gbfs_station_status,2026-08-06T03:50:11Z,2026-08-06,20260806T035010Z,5,8,0,11,0,1,1,1,1785987887,False,False,2026-08-06 03:44:47
ecobici,ecobici_gbfs_station_status,2026-08-06T03:50:11Z,2026-08-06,20260806T035010Z,6,11,0,16,0,1,1,1,1785986853,False,False,2026-08-06 03:27:33
ecobici,ecobici_gbfs_station_status,2026-08-06T03:50:11Z,2026-08-06,20260806T035010Z,7,6,0,17,0,1,1,1,1785987704,False,False,2026-08-06 03:41:44
ecobici,ecobici_gbfs_station_status,2026-08-06T03:50:11Z,2026-08-06,20260806T035010Z,8,2,0,29,0,1,1,1,1785987760,False,False,2026-08-06 03:42:40
ecobici,ecobici_gbfs_station_status,2026-08-06T03:50:11Z,2026-08-06,20260806T035010Z,9,3,0,20,0,1,1,1,1785983730,False,False,2026-08-06 02:35:30
ecobici,ecobici_gbfs_station_status,2026-08-06T03:50:11Z,2026-08-06,20260806T035010Z,10,6,0,17,0,1,1,1,1785984722,False,False,2026-08-06 02:52:02
ecobici,ecobici_gbfs_station_status,2026-08-06T03:50:11Z,2026-08-06,20260806T035010Z,11,4,0,23,0,1,1,1,1785985747,False,False,2026-08-06 03:09:07
ecobici,ecobici_gbfs_station_status,2026-08-06T03:50:11Z,2026-08-06,20260806T035010Z,12,2,0,25,0,1,1,1,1785985524,False,False,2026-08-06 03:05:24
ecobici,ecobici_gbfs_station_status,2026-08-06T03:50:11Z,2026-08-06,20260806T035010Z,14,0,0,35,0,1,1,1,1785982002,False,False,2026-08-06 02:06:42
ecobici,ecobici_gbfs_station_status,2026-08-06T03:50:11Z,2026-08-06,20260806T035010Z,15,0,0,23,0,1,1,1,1785983322,False,False,2026-08-06 02:28:42
ecobici,ecobici_gbfs_station_status,2026-08-06T03:50:11Z,2026-08-06,20260806T035010Z,16,0,1,26,0,1,1,1,1785987429,False,False,2026-08-06 03:37:09
ecobici,ecobici_gbfs_station_status,2026-08-06T03:50:11Z,2026-08-06,20260806T035010Z,17,0,2,21,0,1,1,1,1785987903,False,False,2026-08-06 03:45:03
ecobici,ecobici_gbfs_station_status,2026-08-06T03:50:11Z,2026-08-06,20260806T035010Z,18,4,0,31,0,1,1,1,1785985155,False,False,2026-08-06 02:59:15
ecobici,ecobici_gbfs_station_status,2026-08-06T03:50:11Z,2026-08-06,20260806T035010Z,19,7,1,11,0,1,1,1,1785986561,False,False,2026-08-06 03:22:41
ecobici,ecobici_gbfs_station_status,2026-08-06T03:50:11Z,2026-08-06,20260806T035010Z,20,9,0,25,0,1,1,1,1785988085,False,False,2026-08-06 03:48:05
ecobici,ecobici_gbfs_station_status,2026-08-06T03:50:11Z,2026-08-06,20260806T035010Z,21,3,0,20,0,1,1,1,1785987942,False,False,2026-08-06 03:45:42
ecobici,ecobici_gbfs_station_status,2026-08-06T03:50:11Z,2026-08-06,20260806T035010Z,22,5,0,18,0,1,1,1,1785986265,False,False,2026-08-06 03:17:45
ecobici,ecobici_gbfs_station_status,2026-08-06T03:50:11Z,2026-08-06,20260806T035010Z,23,4,1,30,0,1,1,1,1785987517,False,False,2026-08-06 03:38:37
ecobici,ecobici_gbfs_station_status,2026-08-06T03:50:11Z,2026-08-06,20260806T035010Z,24,11,4,20,0,1,1,1,1785987979,False,False,2026-08-06 03:46:19
ecobici,ecobici_gbfs_station_status,2026-08-06T03:50:11Z,2026-08-06,20260806T035010Z,25,2,0,21,0,1,1,1,1785987721,False,False,2026-08-06 03:42:01
ecobici,ecobici_gbfs_station_status,2026-08-06T03:50:11Z,2026-08-06,20260806T035010Z,26,0,0,19,0,1,1,1,1785979600,False,False,2026-08-06 01:26:40
ecobici,ecobici_gbfs_station_status,2026-08-06T03:50:11Z,2026-08-06,20260806T035010Z,27,19,1,1,0,1,1,1,1785988006,False,False,2026-08-06 03:46:46
ecobici,ecobici_gbfs_station_status,2026-08-06T03:50:11Z,2026-08-06,20260806T035010Z,28,4,1,7,0,1,1,1,1785987727,False,False,2026-08-06 03:42:07
