_source_system,_source_table,_extracted_at_utc,_snapshot_date,_snapshot_id,station_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,is_charging,last_reported_datetime
ecobici,ecobici_gbfs_station_status,2026-07-09T20:26:11Z,2026-07-09,20260709T202610Z,1,2,1,36,0,1,1,1,1783628151,False,False,2026-07-09 20:15:51
ecobici,ecobici_gbfs_station_status,2026-07-09T20:26:11Z,2026-07-09,20260709T202610Z,5,5,0,14,0,1,1,1,1783628654,False,False,2026-07-09 20:24:14
ecobici,ecobici_gbfs_station_status,2026-07-09T20:26:11Z,2026-07-09,20260709T202610Z,6,2,1,24,0,1,1,1,1783628521,False,False,2026-07-09 20:22:01
ecobici,ecobici_gbfs_station_status,2026-07-09T20:26:11Z,2026-07-09,20260709T202610Z,7,0,0,23,0,1,1,1,1783628309,False,False,2026-07-09 20:18:29
ecobici,ecobici_gbfs_station_status,2026-07-09T20:26:11Z,2026-07-09,20260709T202610Z,8,6,2,23,0,1,1,1,1783627698,False,False,2026-07-09 20:08:18
ecobici,ecobici_gbfs_station_status,2026-07-09T20:26:11Z,2026-07-09,20260709T202610Z,9,3,1,19,0,1,1,1,1783627497,False,False,2026-07-09 20:04:57
ecobici,ecobici_gbfs_station_status,2026-07-09T20:26:11Z,2026-07-09,20260709T202610Z,10,2,0,21,0,1,1,1,1783628659,False,False,2026-07-09 20:24:19
ecobici,ecobici_gbfs_station_status,2026-07-09T20:26:11Z,2026-07-09,20260709T202610Z,11,1,1,25,0,1,1,1,1783628395,False,False,2026-07-09 20:19:55
ecobici,ecobici_gbfs_station_status,2026-07-09T20:26:11Z,2026-07-09,20260709T202610Z,12,4,0,23,0,1,1,1,1783628364,False,False,2026-07-09 20:19:24
ecobici,ecobici_gbfs_station_status,2026-07-09T20:26:11Z,2026-07-09,20260709T202610Z,14,2,0,33,0,1,1,1,1783628642,False,False,2026-07-09 20:24:02
