_source_system,_source_table,_extracted_at_utc,_snapshot_date,_snapshot_id,station_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,is_charging,last_reported_datetime
ecobici,ecobici_gbfs_station_status,2026-09-26T05:19:00Z,2026-09-26,20260926T051900Z,1,5,0,34,0,1,1,1,1790397068,False,False,2026-09-26 04:31:08
ecobici,ecobici_gbfs_station_status,2026-09-26T05:19:00Z,2026-09-26,20260926T051900Z,5,7,0,12,0,1,1,1,1790399279,False,False,2026-09-26 05:07:59
ecobici,ecobici_gbfs_station_status,2026-09-26T05:19:00Z,2026-09-26,20260926T051900Z,6,4,0,23,0,1,1,1,1790398625,False,False,2026-09-26 04:57:05
ecobici,ecobici_gbfs_station_status,2026-09-26T05:19:00Z,2026-09-26,20260926T051900Z,7,1,1,21,0,1,1,1,1790398501,False,False,2026-09-26 04:55:01
ecobici,ecobici_gbfs_station_status,2026-09-26T05:19:00Z,2026-09-26,20260926T051900Z,8,1,0,30,0,1,1,1,1790394593,False,False,2026-09-26 03:49:53
ecobici,ecobici_gbfs_station_status,2026-09-26T05:19:00Z,2026-09-26,20260926T051900Z,9,1,0,22,0,1,1,1,1790392999,False,False,2026-09-26 03:23:19
ecobici,ecobici_gbfs_station_status,2026-09-26T05:19:00Z,2026-09-26,20260926T051900Z,10,3,1,19,0,1,1,1,1790397954,False,False,2026-09-26 04:45:54
ecobici,ecobici_gbfs_station_status,2026-09-26T05:19:00Z,2026-09-26,20260926T051900Z,11,4,3,20,0,1,1,1,1790396521,False,False,2026-09-26 04:22:01
ecobici,ecobici_gbfs_station_status,2026-09-26T05:19:00Z,2026-09-26,20260926T051900Z,12,2,0,25,0,1,1,1,1790399011,False,False,2026-09-26 05:03:31
ecobici,ecobici_gbfs_station_status,2026-09-26T05:19:00Z,2026-09-26,20260926T051900Z,14,4,0,31,0,1,1,1,1790399587,False,False,2026-09-26 05:13:07
ecobici,ecobici_gbfs_station_status,2026-09-26T05:19:00Z,2026-09-26,20260926T051900Z,15,0,0,23,0,1,1,1,1790385911,False,False,2026-09-26 01:25:11
ecobici,ecobici_gbfs_station_status,2026-09-26T05:19:00Z,2026-09-26,20260926T051900Z,16,4,0,23,0,1,1,1,1790397773,False,False,2026-09-26 04:42:53
ecobici,ecobici_gbfs_station_status,2026-09-26T05:19:00Z,2026-09-26,20260926T051900Z,17,0,0,23,0,1,1,1,1790394553,False,False,2026-09-26 03:49:13
ecobici,ecobici_gbfs_station_status,2026-09-26T05:19:00Z,2026-09-26,20260926T051900Z,18,3,0,32,0,1,1,1,1790399897,False,False,2026-09-26 05:18:17
ecobici,ecobici_gbfs_station_status,2026-09-26T05:19:00Z,2026-09-26,20260926T051900Z,19,3,1,15,0,1,1,1,1790398918,False,False,2026-09-26 05:01:58
ecobici,ecobici_gbfs_station_status,2026-09-26T05:19:00Z,2026-09-26,20260926T051900Z,20,0,1,33,0,1,1,1,1790395866,False,False,2026-09-26 04:11:06
ecobici,ecobici_gbfs_station_status,2026-09-26T05:19:00Z,2026-09-26,20260926T051900Z,21,5,5,13,0,1,1,1,1790399549,False,False,2026-09-26 05:12:29
ecobici,ecobici_gbfs_station_status,2026-09-26T05:19:00Z,2026-09-26,20260926T051900Z,22,3,0,20,0,1,1,1,1790394852,False,False,2026-09-26 03:54:12
ecobici,ecobici_gbfs_station_status,2026-09-26T05:19:00Z,2026-09-26,20260926T051900Z,23,0,0,35,0,1,1,1,1790398041,False,False,2026-09-26 04:47:21
ecobici,ecobici_gbfs_station_status,2026-09-26T05:19:00Z,2026-09-26,20260926T051900Z,24,7,1,27,0,1,1,1,1790399771,False,False,2026-09-26 05:16:11
ecobici,ecobici_gbfs_station_status,2026-09-26T05:19:00Z,2026-09-26,20260926T051900Z,25,0,0,23,0,1,1,1,1790399668,False,False,2026-09-26 05:14:28
ecobici,ecobici_gbfs_station_status,2026-09-26T05:19:00Z,2026-09-26,20260926T051900Z,26,2,0,17,0,1,1,1,1790399764,False,False,2026-09-26 05:16:04
