_source_system,_source_table,_extracted_at_utc,_snapshot_date,_snapshot_id,station_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,is_charging,last_reported_datetime
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,1,13,2,24,0,1,1,1,1781736658,False,False,2026-06-17 22:50:58
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,5,6,0,13,0,1,1,1,1781740443,False,False,2026-06-17 23:54:03
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,6,2,0,25,0,1,1,1,1781740714,False,False,2026-06-17 23:58:34
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,7,0,0,0,0,1,0,0,86400,False,False,1970-01-02 00:00:00
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,8,0,0,31,0,1,1,1,1781734877,False,False,2026-06-17 22:21:17
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,9,0,2,21,0,1,1,1,1781739909,False,False,2026-06-17 23:45:09
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,10,0,0,23,0,1,1,1,1781740471,False,False,2026-06-17 23:54:31
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,11,1,0,26,0,1,1,1,1781740803,False,False,2026-06-18 00:00:03
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,12,2,0,25,0,1,1,1,1781740694,False,False,2026-06-17 23:58:14
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,14,21,1,13,0,1,1,1,1781740624,False,False,2026-06-17 23:57:04
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,15,17,2,4,0,1,1,1,1781738594,False,False,2026-06-17 23:23:14
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,16,0,3,24,0,1,1,1,1781739847,False,False,2026-06-17 23:44:07
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,17,2,1,20,0,1,1,1,1781740033,False,False,2026-06-17 23:47:13
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,18,0,0,35,0,1,1,1,1781740769,False,False,2026-06-17 23:59:29
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,19,2,2,15,0,1,1,1,1781740577,False,False,2026-06-17 23:56:17
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,20,1,1,32,0,1,1,1,1781740847,False,False,2026-06-18 00:00:47
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,21,0,0,23,0,1,1,1,1781739808,False,False,2026-06-17 23:43:28
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,22,2,0,21,0,1,1,1,1781740707,False,False,2026-06-17 23:58:27
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,23,3,4,28,0,1,1,1,1781740238,False,False,2026-06-17 23:50:38
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,24,3,4,28,0,1,1,1,1781740772,False,False,2026-06-17 23:59:32
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,25,1,0,22,0,1,1,1,1781740798,False,False,2026-06-17 23:59:58
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,26,0,0,19,0,1,1,1,1781736072,False,False,2026-06-17 22:41:12
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,27,7,0,14,0,1,1,1,1781740703,False,False,2026-06-17 23:58:23
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,28,1,1,9,0,1,1,1,1781740753,False,False,2026-06-17 23:59:13
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,29,0,2,29,0,1,1,1,1781739969,False,False,2026-06-17 23:46:09
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,30,4,0,15,0,1,1,1,1781740393,False,False,2026-06-17 23:53:13
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,31,2,3,10,0,1,1,1,1781740690,False,False,2026-06-17 23:58:10
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,32,1,3,15,0,1,1,1,1781740821,False,False,2026-06-18 00:00:21
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,33,0,0,27,0,1,1,1,1781740184,False,False,2026-06-17 23:49:44
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,34,1,0,18,0,1,1,1,1781740590,False,False,2026-06-17 23:56:30
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,35,2,1,28,0,1,1,1,1781740314,False,False,2026-06-17 23:51:54
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,36,4,0,15,0,1,1,1,1781740399,False,False,2026-06-17 23:53:19
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,37,3,3,25,0,1,1,1,1781740738,False,False,2026-06-17 23:58:58
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,38,3,0,20,0,1,1,1,1781740879,False,False,2026-06-18 00:01:19
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,39,0,0,19,0,1,1,1,1781740190,False,False,2026-06-17 23:49:50
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,40,2,0,29,0,1,1,1,1781740284,False,False,2026-06-17 23:51:24
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,41,0,0,23,0,1,1,1,1781740041,False,False,2026-06-17 23:47:21
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,42,0,1,18,0,1,1,1,1781740750,False,False,2026-06-17 23:59:10
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,43,0,1,18,0,1,1,1,1781740789,False,False,2026-06-17 23:59:49
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,44,0,4,43,0,1,1,1,1781740829,False,False,2026-06-18 00:00:29
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,45,15,3,8,0,1,1,1,1781740081,False,False,2026-06-17 23:48:01
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,46,0,5,26,0,1,1,1,1781739783,False,False,2026-06-17 23:43:03
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,47,0,1,22,0,1,1,1,1781740741,False,False,2026-06-17 23:59:01
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,48,1,0,22,0,1,1,1,1781739298,False,False,2026-06-17 23:34:58
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,49,0,2,56,1,1,1,1,1781735163,False,False,2026-06-17 22:26:03
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,50,2,2,15,0,1,1,1,1781740820,False,False,2026-06-18 00:00:20
ecobici,ecobici_gbfs_station_status,2026-06-18T00:01:31Z,2026-06-18,20260618T000130Z,51,1,0,26,0,1,1,1,1781740739,False,False,2026-06-17 23:58:59
