_source_system,_source_table,_extracted_at_utc,_snapshot_date,_snapshot_id,entity_id,trip_id,route_id,direction_id,start_time,start_date,vehicle_id,vehicle_label,license_plate,latitude,longitude,bearing,speed_mps,speed_kmh,current_stop_sequence,stop_id,current_status,timestamp_raw,timestamp_cdmx,congestion_level,occupancy_status
metrobus,metrobus_vehicle_positions,2026-09-04T04:28:33Z,2026-09-04,20260904T042830Z,b775e394-fef5-4817-a78d-a0788882286e,,19558,1.0,03:31:39,20260904,69379,2306,1240002,19.45003318786621,-99.1102294921875,167.0,0.0,0.0,,,,1788496104,2026-09-03 22:28:24-06:00,,
metrobus,metrobus_vehicle_positions,2026-09-04T04:28:33Z,2026-09-04,20260904T042830Z,945b891d-9d75-4df4-bedc-438218dc0dfb,,19567,1.0,03:43:04,20260904,69378,2305,1240001,19.38884735107422,-99.08293151855469,124.0,0.0,0.0,,,,1788496096,2026-09-03 22:28:16-06:00,,
metrobus,metrobus_vehicle_positions,2026-09-04T04:28:33Z,2026-09-04,20260904T042830Z,9e3e3269-0cad-4820-a965-dd615a4fe797,,19470,0.0,03:38:47,20260904,69377,2304,1230200,19.490753173828125,-99.13371276855469,103.0,26.0,93.60000000000001,,,,1788496110,2026-09-03 22:28:30-06:00,,
metrobus,metrobus_vehicle_positions,2026-09-04T04:28:33Z,2026-09-04,20260904T042830Z,d2536e4d-fb64-4958-99ef-7c866cfe7150,,19563,0.0,03:33:05,20260904,69376,2303,1230199,19.399715423583984,-99.16765594482422,347.0,0.0,0.0,,,,1788496103,2026-09-03 22:28:23-06:00,,
metrobus,metrobus_vehicle_positions,2026-09-04T04:28:33Z,2026-09-04,20260904T042830Z,f656d831-532d-44cb-a093-925ee46c647c,,19567,1.0,03:43:17,20260904,69375,2302,1230198,19.3914852142334,-99.08686828613281,125.0,0.0,0.0,,,,1788496094,2026-09-03 22:28:14-06:00,,
metrobus,metrobus_vehicle_positions,2026-09-04T04:28:33Z,2026-09-04,20260904T042830Z,fe0de0bc-f130-46cd-af95-9efa29a17f55,,20015,1.0,03:25:17,20260904,70014,1210,001A196,19.392208099365234,-99.04869079589844,120.0,29.0,104.4,,,,1788496098,2026-09-03 22:28:18-06:00,,
metrobus,metrobus_vehicle_positions,2026-09-04T04:28:33Z,2026-09-04,20260904T042830Z,431d33da-394f-42d6-a60b-fdd95ce25f0c,,19474,0.0,04:23:22,20260904,69382,2309,1240005,19.490591049194336,-99.13292694091797,291.0,15.0,54.0,,,,1788496104,2026-09-03 22:28:24-06:00,,
metrobus,metrobus_vehicle_positions,2026-09-04T04:28:33Z,2026-09-04,20260904T042830Z,17c35a21-7139-495f-b018-78ac91d51267,,19472,1.0,03:58:54,20260904,69381,2308,1240004,19.4683837890625,-99.07159423828125,132.0,0.0,0.0,,,,1788496096,2026-09-03 22:28:16-06:00,,
metrobus,metrobus_vehicle_positions,2026-09-04T04:28:33Z,2026-09-04,20260904T042830Z,4e49cc2b-330f-412c-8c66-59ac29b6be69,,19473,0.0,04:23:45,20260904,69380,2307,1240003,19.47320556640625,-99.06861114501953,317.0,16.0,57.6,,,,1788496096,2026-09-03 22:28:16-06:00,,
metrobus,metrobus_vehicle_positions,2026-09-04T04:28:33Z,2026-09-04,20260904T042830Z,4358054e-4c7a-47e1-abed-32e29a951b62,,19563,0.0,03:36:24,20260904,69393,2320,1230174,19.3953857421875,-99.14802551269531,275.0,5.0,18.0,,,,1788496103,2026-09-03 22:28:23-06:00,,
