_source_system,_source_table,_extracted_at_utc,_snapshot_date,_snapshot_id,query_timestamp,origin_index,destination_index,origin,destination,travel_mode,status,condition,distance_meters,duration_seconds,static_duration_seconds,duration_minutes,static_duration_minutes,delay_seconds,delay_minutes,traffic_delay_pct,duration_score,delay_score,traffic_pct_score,criticality_score_0_100,criticality_level
google_routes,routes_api_score,2026-07-08T15:42:46Z,2026-07-08,20260708T154241Z,2026-07-08T15:42:46.019568,1,1,Metro Copilco,Facultad de Medicina UNAM,DRIVE,{},ROUTE_EXISTS,2147,615.0,493.0,10.25,8.216666666666667,122.0,2.033333333333333,24.74645030425964,0.05776087473258855,0.1989606533036377,0.7577262536445405,24.717387301484617,Baja
google_routes,routes_api_score,2026-07-08T15:42:46Z,2026-07-08,20260708T154241Z,2026-07-08T15:42:46.019591,0,1,Metro Universidad,Facultad de Medicina UNAM,DRIVE,{},ROUTE_EXISTS,2697,440.0,552.0,7.333333333333333,9.2,-112.0,-1.8666666666666667,-20.28985507246377,0.016163536962205842,0.025241276911655522,0.0,1.610803855207206,Baja
google_routes,routes_api_score,2026-07-08T15:42:46Z,2026-07-08,20260708T154241Z,2026-07-08T15:42:46.019599,1,0,Metro Copilco,Rectoria UNAM,DRIVE,{},ROUTE_EXISTS,3564,629.0,736.0,10.483333333333333,12.266666666666667,-107.0,-1.7833333333333334,-14.538043478260864,0.06108866175421915,0.028953229398663686,0.09677300601121569,5.697812928117404,Baja
google_routes,routes_api_score,2026-07-08T15:42:46Z,2026-07-08,20260708T154241Z,2026-07-08T15:42:46.019607,0,0,Metro Universidad,Rectoria UNAM,DRIVE,{},ROUTE_EXISTS,2330,372.0,444.0,6.2,7.4,-72.0,-1.2,-16.216216216216218,0.0,0.054936896807720854,0.06853810683237399,3.29355352491771,Baja
google_routes,routes_api_score,2026-07-08T15:42:46Z,2026-07-08,20260708T154241Z,2026-07-08T15:42:46.019614,5,2,Metro Indios Verdes,IPN Zacatenco,DRIVE,{},ROUTE_EXISTS,3871,743.0,652.0,12.383333333333333,10.866666666666667,91.0,1.5166666666666666,13.957055214723923,0.08818635607321132,0.17594654788418707,0.5761969773884539,21.650454747010134,Baja
google_routes,routes_api_score,2026-07-08T15:42:46Z,2026-07-08,20260708T154241Z,2026-07-08T15:42:46.019621,3,2,Angel de la Independencia,IPN Zacatenco,DRIVE,{},ROUTE_EXISTS,12562,1212.0,1358.0,20.2,22.633333333333333,-146.0,-2.433333333333333,-10.75110456553755,0.19966722129783696,0.0,0.16048744730731768,12.194773904549017,Baja
google_routes,routes_api_score,2026-07-08T15:42:46Z,2026-07-08,20260708T154241Z,2026-07-08T15:42:46.019627,2,2,Zocalo,IPN Zacatenco,DRIVE,{},ROUTE_EXISTS,9648,1372.0,1315.0,22.866666666666667,21.916666666666668,57.0,0.95,4.334600760456264,0.23769907297361545,0.15070527097253153,0.4143012289804188,24.257167347459674,Baja
google_routes,routes_api_score,2026-07-08T15:42:46Z,2026-07-08,20260708T154241Z,2026-07-08T15:42:46.019639,3,0,Angel de la Independencia,Rectoria UNAM,DRIVE,{},ROUTE_EXISTS,20082,2265.0,2162.0,37.75,36.03333333333333,103.0,1.7166666666666666,4.7641073080481044,0.44996434513905403,0.18485523385300667,0.42152758523900236,35.148880420892716,Media
google_routes,routes_api_score,2026-07-08T15:42:46Z,2026-07-08,20260708T154241Z,2026-07-08T15:42:46.019648,0,2,Metro Universidad,IPN Zacatenco,DRIVE,{},ROUTE_EXISTS,34084,4579.0,3378.0,76.31666666666666,56.3,1201.0,20.016666666666666,35.553582001184125,1.0,1.0,0.9395539445453595,98.79107889090719,Critica
google_routes,routes_api_score,2026-07-08T15:42:46Z,2026-07-08,20260708T154241Z,2026-07-08T15:42:46.019655,4,0,WTC,Rectoria UNAM,DRIVE,{},ROUTE_EXISTS,14438,1604.0,1600.0,26.733333333333334,26.666666666666668,4.0,0.06666666666666667,0.24999999999999467,0.29284525790349425,0.111358574610245,0.3455786904425707,23.987160525867232,Baja
