_source_system,_source_table,_extracted_at_utc,_snapshot_date,_snapshot_id,query_timestamp,origin_index,destination_index,origin,destination,travel_mode,status,condition,distance_meters,duration_seconds,static_duration_seconds,duration_minutes,static_duration_minutes,delay_seconds,delay_minutes,traffic_delay_pct,duration_score,delay_score,traffic_pct_score,criticality_score_0_100,criticality_level
google_routes,routes_api_score,2026-08-28T23:10:15Z,2026-08-28,20260828T231010Z,2026-08-28T23:10:15.561267,1,0,Metro Copilco,Rectoria UNAM,DRIVE,{},ROUTE_EXISTS,1714,301.0,323.0,5.016666666666667,5.383333333333334,-22.0,-0.36666666666666664,-6.811145510835914,0.0,0.007094485649790389,0.032286787081947155,0.8940427393816067,Baja
google_routes,routes_api_score,2026-08-28T23:10:15Z,2026-08-28,20260828T231010Z,2026-08-28T23:10:15.561290,0,0,Metro Universidad,Rectoria UNAM,DRIVE,{},ROUTE_EXISTS,2330,446.0,429.0,7.433333333333334,7.15,17.0,0.2833333333333333,3.962703962703973,0.026742899299151607,0.01967107384714608,0.10810779117249215,4.0540738765617785,Baja
google_routes,routes_api_score,2026-08-28T23:10:15Z,2026-08-28,20260828T231010Z,2026-08-28T23:10:15.561298,5,2,Metro Indios Verdes,IPN Zacatenco,DRIVE,{},ROUTE_EXISTS,3918,685.0,693.0,11.416666666666666,11.55,-8.0,-0.13333333333333333,-1.1544011544011523,0.07082257469568423,0.011609158336020638,0.07209614566281165,5.035259316322746,Baja
google_routes,routes_api_score,2026-08-28T23:10:15Z,2026-08-28,20260828T231010Z,2026-08-28T23:10:15.561304,0,1,Metro Universidad,Facultad de Medicina UNAM,DRIVE,{},ROUTE_EXISTS,2697,582.0,537.0,9.7,8.95,45.0,0.75,8.379888268156432,0.0518258945038731,0.028700419219606577,0.13919374147418698,6.120554754844259,Baja
google_routes,routes_api_score,2026-08-28T23:10:15Z,2026-08-28,20260828T231010Z,2026-08-28T23:10:15.561310,1,1,Metro Copilco,Facultad de Medicina UNAM,DRIVE,{},ROUTE_EXISTS,1883,342.0,386.0,5.7,6.433333333333334,-44.0,-0.7333333333333333,-11.398963730569944,0.0075617853190704555,0.0,0.0,0.34028033935817054,Baja
google_routes,routes_api_score,2026-08-28T23:10:15Z,2026-08-28,20260828T231010Z,2026-08-28T23:10:15.561316,4,1,WTC,Facultad de Medicina UNAM,DRIVE,{},ROUTE_EXISTS,12972,3020.0,1384.0,50.333333333333336,23.066666666666666,1636.0,27.266666666666666,118.20809248554913,0.5014754703061601,0.5417607223476297,0.9121101203112589,59.77022385216942,Alta
google_routes,routes_api_score,2026-08-28T23:10:15Z,2026-08-28,20260828T231010Z,2026-08-28T23:10:15.561321,4,0,WTC,Rectoria UNAM,DRIVE,{},ROUTE_EXISTS,13097,2968.0,1379.0,49.46666666666667,22.983333333333334,1589.0,26.483333333333334,115.22842639593907,0.4918849133161195,0.526604321186714,0.8911407095798731,58.38878653235783,Alta
google_routes,routes_api_score,2026-08-28T23:10:15Z,2026-08-28,20260828T231010Z,2026-08-28T23:10:15.561334,3,1,Angel de la Independencia,Facultad de Medicina UNAM,DRIVE,{},ROUTE_EXISTS,13475,4526.0,2652.0,75.43333333333334,44.2,1874.0,31.233333333333334,70.66365007541478,0.7792327554407967,0.618510158013544,0.5775159373022167,68.26364827135423,Alta
google_routes,routes_api_score,2026-08-28T23:10:15Z,2026-08-28,20260828T231010Z,2026-08-28T23:10:15.561341,3,2,Angel de la Independencia,IPN Zacatenco,DRIVE,{},ROUTE_EXISTS,12546,2925.0,1357.0,48.75,22.616666666666667,1568.0,26.133333333333333,115.54900515843771,0.483954260420509,0.5198323121573686,0.8933967837641698,57.8400083197142,Alta
google_routes,routes_api_score,2026-08-28T23:10:15Z,2026-08-28,20260828T231010Z,2026-08-28T23:10:15.561348,2,2,Zocalo,IPN Zacatenco,DRIVE,{},ROUTE_EXISTS,9648,2498.0,1317.0,41.63333333333333,21.95,1181.0,19.683333333333334,89.67350037965072,0.40520103282921427,0.39503386004514673,0.7112978266090987,46.286188111076754,Media
google_routes,routes_api_score,2026-08-28T23:10:15Z,2026-08-28,20260828T231010Z,2026-08-28T23:10:15.561353,4,2,WTC,IPN Zacatenco,DRIVE,{},ROUTE_EXISTS,17244,4265.0,1944.0,71.08333333333333,32.4,2321.0,38.68333333333333,119.39300411522633,0.7310955367023237,0.7626572073524669,0.9204489401306128,78.00128021155317,Critica
google_routes,routes_api_score,2026-08-28T23:10:15Z,2026-08-28,20260828T231010Z,2026-08-28T23:10:15.561358,0,2,Metro Universidad,IPN Zacatenco,DRIVE,{},ROUTE_EXISTS,31798,5723.0,3201.0,95.38333333333334,53.35,2522.0,42.03333333333333,78.78787878787878,1.0,0.8274750080619154,0.6346902258379062,86.65542979892516,Critica
google_routes,routes_api_score,2026-08-28T23:10:15Z,2026-08-28,20260828T231010Z,2026-08-28T23:10:15.561363,3,0,Angel de la Independencia,Rectoria UNAM,DRIVE,{},ROUTE_EXISTS,14830,4740.0,2883.0,79.0,48.05,1857.0,30.95,64.41207075962538,0.8187015861305791,0.6130280554659787,0.5335204255736595,68.9679618286585,Alta
google_routes,routes_api_score,2026-08-28T23:10:15Z,2026-08-28,20260828T231010Z,2026-08-28T23:10:15.561368,5,1,Metro Indios Verdes,Facultad de Medicina UNAM,DRIVE,{},ROUTE_EXISTS,33045,5314.0,3006.0,88.56666666666666,50.1,2308.0,38.46666666666667,76.77977378576182,0.9245665805975654,0.7584650112866818,0.6205581797244266,80.56293511641283,Critica
google_routes,routes_api_score,2026-08-28T23:10:15Z,2026-08-28,20260828T231010Z,2026-08-28T23:10:15.561374,5,0,Metro Indios Verdes,Rectoria UNAM,DRIVE,{},ROUTE_EXISTS,23725,5402.0,2972.0,90.03333333333333,49.53333333333333,2430.0,40.5,81.76312247644684,0.9407967539653264,0.7978071589809739,0.6556285139061884,83.37167477089754,Critica
google_routes,routes_api_score,2026-08-28T23:10:15Z,2026-08-28,20260828T231010Z,2026-08-28T23:10:15.561379,1,2,Metro Copilco,IPN Zacatenco,DRIVE,{},ROUTE_EXISTS,30508,5180.0,2962.0,86.33333333333333,49.36666666666667,2218.0,36.96666666666667,74.88183659689398,0.8998524529693839,0.7294421154466301,0.6072014399895559,78.16786322404545,Critica
google_routes,routes_api_score,2026-08-28T23:10:15Z,2026-08-28,20260828T231010Z,2026-08-28T23:10:15.561384,2,1,Zocalo,Facultad de Medicina UNAM,DRIVE,{},ROUTE_EXISTS,16736,5396.0,2339.0,89.93333333333334,38.983333333333334,3057.0,50.95,130.69687900812315,0.9396901512357063,1.0,1.0,97.28605680560678,Critica
google_routes,routes_api_score,2026-08-28T23:10:15Z,2026-08-28,20260828T231010Z,2026-08-28T23:10:15.561389,2,0,Zocalo,Rectoria UNAM,DRIVE,{},ROUTE_EXISTS,17175,5543.0,2502.0,92.38333333333334,41.7,3041.0,50.68333333333333,121.54276578737009,0.966801918111398,0.9948403740728796,0.9355778955645662,97.03705731885502,Critica
