_source_system,_source_table,_extracted_at_utc,_snapshot_date,_snapshot_id,table_name,column,dtype,non_null,nulls,null_pct,unique_values,sample
denue,denue_metadata_reporte,2026-06-08T13:17:27Z,2026-06-08,20260608T131619Z,denue_cdmx_educacion_superior_universitaria,colonia,str,881,0,0.0,282,CENTRO
denue,denue_metadata_reporte,2026-06-08T13:17:27Z,2026-06-08,20260608T131619Z,denue_cdmx_educacion_superior_universitaria,cp,str,881,0,0.0,319,06060
denue,denue_metadata_reporte,2026-06-08T13:17:27Z,2026-06-08,20260608T131619Z,denue_cdmx_educacion_superior_universitaria,ubicacion,str,881,0,0.0,24,"CUAUHTÉMOC                                                                                                    , Cuauhtém"
denue,denue_metadata_reporte,2026-06-08T13:17:27Z,2026-06-08,20260608T131619Z,denue_cdmx_educacion_superior_universitaria,telefono,str,881,0,0.0,228,
denue,denue_metadata_reporte,2026-06-08T13:17:27Z,2026-06-08,20260608T131619Z,denue_cdmx_educacion_superior_universitaria,correo_e,str,881,0,0.0,500,
denue,denue_metadata_reporte,2026-06-08T13:17:27Z,2026-06-08,20260608T131619Z,denue_cdmx_educacion_superior_universitaria,sitio_internet,str,881,0,0.0,372,ACADEMIASANCARLOS.UNAM.MX
denue,denue_metadata_reporte,2026-06-08T13:17:27Z,2026-06-08,20260608T131619Z,denue_cdmx_educacion_superior_universitaria,tipo_establecimiento,str,881,0,0.0,1,Fijo
denue,denue_metadata_reporte,2026-06-08T13:17:27Z,2026-06-08,20260608T131619Z,denue_cdmx_educacion_superior_universitaria,longitud,float64,881,0,0.0,786,-99.12804346
denue,denue_metadata_reporte,2026-06-08T13:17:27Z,2026-06-08,20260608T131619Z,denue_cdmx_educacion_superior_universitaria,latitud,float64,881,0,0.0,786,19.4331231
denue,denue_metadata_reporte,2026-06-08T13:17:27Z,2026-06-08,20260608T131619Z,denue_cdmx_educacion_superior_universitaria,tipo_corredor_industrial,str,881,0,0.0,6,
denue,denue_metadata_reporte,2026-06-08T13:17:27Z,2026-06-08,20260608T131619Z,denue_cdmx_educacion_superior_universitaria,nom_corredor_industrial,str,881,0,0.0,37,
denue,denue_metadata_reporte,2026-06-08T13:17:27Z,2026-06-08,20260608T131619Z,denue_cdmx_educacion_superior_universitaria,numero_local,str,881,0,0.0,39,
denue,denue_metadata_reporte,2026-06-08T13:17:27Z,2026-06-08,20260608T131619Z,denue_cdmx_educacion_superior_universitaria,ageb,str,881,0,0.0,360,0771
denue,denue_metadata_reporte,2026-06-08T13:17:27Z,2026-06-08,20260608T131619Z,denue_cdmx_educacion_superior_universitaria,manzana,str,881,0,0.0,47,021
denue,denue_metadata_reporte,2026-06-08T13:17:27Z,2026-06-08,20260608T131619Z,denue_cdmx_educacion_superior_universitaria,CLASE_ACTIVIDAD_ID,str,881,0,0.0,16,611312
denue,denue_metadata_reporte,2026-06-08T13:17:27Z,2026-06-08,20260608T131619Z,denue_cdmx_educacion_superior_universitaria,EDIFICIO_PISO,str,881,0,0.0,12,
denue,denue_metadata_reporte,2026-06-08T13:17:27Z,2026-06-08,20260608T131619Z,denue_cdmx_educacion_superior_universitaria,SECTOR_ACTIVIDAD_ID,str,881,0,0.0,1,61
denue,denue_metadata_reporte,2026-06-08T13:17:27Z,2026-06-08,20260608T131619Z,denue_cdmx_educacion_superior_universitaria,SUBSECTOR_ACTIVIDAD_ID,str,881,0,0.0,1,611
denue,denue_metadata_reporte,2026-06-08T13:17:27Z,2026-06-08,20260608T131619Z,denue_cdmx_educacion_superior_universitaria,RAMA_ACTIVIDAD_ID,str,881,0,0.0,6,6113
denue,denue_metadata_reporte,2026-06-08T13:17:27Z,2026-06-08,20260608T131619Z,denue_cdmx_educacion_superior_universitaria,SUBRAMA_ACTIVIDAD_ID,str,881,0,0.0,11,61131
denue,denue_metadata_reporte,2026-06-08T13:17:27Z,2026-06-08,20260608T131619Z,denue_cdmx_educacion_superior_universitaria,EDIFICIO,str,881,0,0.0,12,
